cve_ageb,n_boarding_stops,accessibility_score,accessibility_n
1510600703034,0,0.0,0.0
1510600703477,32,152585.0,0.9883245469907839
1510600652977,15,3895.0,0.6846120940758045
1510600012021,28,163230.0,0.9939087894609745
1510600622407,21,147480.0,0.9855067547346895
1510600832286,16,121930.0,0.9697534879983225
1510600831589,0,0.0,0.0
1510600831517,27,102300.0,0.955218140521319
1510600621767,8,127735.0,0.9736048018894357
1510600832727,0,0.0,0.0
1510601273621,26,118065.0,0.967086194601363
1510600011697,112,174305.0,0.9993446440088514
1510600012017,44,166910.0,0.995754886748442
1510600012110,132,165305.0,0.9949547833427559
1510600010383,137,172345.0,0.9984082544883778
1510600010523,52,165280.0,0.9949422593215693
1510600010504,69,175460.0,0.9998915268361817
1510600010542,101,175460.0,0.9998915268361817
1510600012426,88,174050.0,0.9992234153580675
1510600012445,12,150225.0,0.987033811445493
1510600012055,62,167770.0,0.9961804426396098
1510600010379,149,165485.0,0.9950449004216092
1510600011998,22,158710.0,0.9915834900022577
1510600013227,36,169135.0,0.9968514303235679
1510600011930,15,148065.0,0.9858345626481382
1510600011682,109,174050.0,0.9992234153580675
1510600971837,72,135155.0,0.9782803384062942
1510600630241,33,131445.0,0.9759755657209603
1510600971841,72,134130.0,0.97764996173843
1510600441748,36,135265.0,0.9783477043261343
1510600441752,53,146530.0,0.9849716366655898
1510600442765,0,0.0,0.0
1510600882479,9,148880.0,0.9862890997229482
1510600792271,30,166095.0,0.9953495698892505
1510600822182,17,154260.0,0.9892285852264099
1510600701786,35,159055.0,0.9917632942831008
1510600730294,54,133990.0,0.9775634878117164
1510600732750,61,131750.0,0.9761674806034886
1510600732943,30,45860.0,0.8887828688812713
1510600732869,42,135175.0,0.9782925908324716
1510600503636,0,0.0,0.0
1510600843509,8,155080.0,0.9896675862532281
1510600842905,19,167230.0,0.9959134887262795
1510600502708,0,0.0,0.0
1510600501184,36,138405.0,0.980247941876799
1510601885030,14,92910.0,0.9472458351769842
1510601885045,41,98140.0,0.9517805311432921
1510600841803,15,165225.0,0.9949146998055252
1510602334475,26,167305.0,0.9959506171633746
1510602115064,0,0.0,0.0
1510602215079,39,83880.0,0.9387795519061394
1510602305083,26,93140.0,0.9474505660177048
1510602305098,27,109330.0,0.9607214426976755
1510601315115,0,0.0,0.0
1510600495100,0,0.0,0.0
1510600715149,0,0.0,0.0
1510602285134,68,114170.0,0.9643083603378388
1511500010043,17,16975.0,0.8064894909945941
1511500010058,110,18955.0,0.8156245952231591
1511500060113,26,11410.0,0.7735972316593647
1511500060109,32,3180.0,0.6678228691850226
1511500060081,37,10815.0,0.769162887043621
1511500060096,29,11035.0,0.7708302713838966
1511800670204,47,10340.0,0.765444093531168
1511800530153,56,73285.0,0.9275983542309892
1511800010859,49,141380.0,0.9820089662316049
1511800640717,0,0.0,0.0
1511800010083,10,115680.0,0.9653963492354333
1511800010331,0,0.0,0.0
1511800600810,11,137040.0,0.9794272356747861
1511800530276,20,50750.0,0.8971724180116891
1511800870435,0,0.0,0.0
1511800600825,27,143790.0,0.9834085859618502
1511800670168,19,7610.0,0.7400623635149973
1511800670543,0,0.0,0.0
1511800870609,0,0.0,0.0
1511800600755,12,111290.0,0.9621927664143836
1511800540878,0,0.0,0.0
1511800530454,3,40250.0,0.8779783784775985
1511800670596,31,9350.0,0.7571110966915539
1511800750420,12,33275.0,0.8622206080375205
1511800600774,27,115015.0,0.9649189623800584
1511800600793,24,126825.0,0.9730127780114659
1511800600806,8,119090.0,0.9678019756196109
1511800580261,16,82600.0,0.9375062224131726
1511800600789,20,119190.0,0.9678714777864083
1511800010079,0,0.0,0.0
1511800010134,63,123400.0,0.9707458220366432
1511800010149,8,107225.0,0.9591116012386321
1511800010219,23,102745.0,0.955577556043127
1511800010280,27,129560.0,0.974779496523997
1511800010505,14,141705.0,0.9821990973405608
1511800580242,40,62595.0,0.9145425474322675
1511800640365,11,95355.0,0.9493967273261525
1511801340736,23,87060.0,0.9418607385035446
1511800010399,20,131725.0,0.9761517665996228
1511801340721,24,87060.0,0.9418607385035446
1511800580257,67,62595.0,0.9145425474322675
1511800540863,15,88290.0,0.943022430684577
1511800640651,0,0.0,0.0
1511800870628,0,0.0,0.0
1511800870613,0,0.0,0.0
1511800600844,18,125045.0,0.9718423710470921
1511800530581,10,42555.0,0.8825894901532397
1511800640350,36,115605.0,0.965342646103879
1511800540897,0,0.0,0.0
1511800540882,7,86075.0,0.9409185439628821
1511800010685,54,115015.0,0.9649189623800584
1511800590416,0,0.0,0.0
