cve_ageb,n_boarding_stops,accessibility_score,accessibility_n
0100100010939,12,125665.0,0.9980738573510846
0100100010341,10,128545.0,1.0
0100100010708,12,128325.0,0.9998543939415692
0100100010801,8,127385.0,0.9992294340782788
0100100012704,4,125730.0,0.9981178142150998
0100100010375,9,127385.0,0.9992294340782788
0100100013399,7,124945.0,0.9975854240629531
0100100014132,4,114185.0,0.9899304917304887
0100100012511,2,125530.0,0.9979824896310715
0100100012174,2,125665.0,0.9980738573510846
0100100012367,11,126650.0,0.9987375474673367
0100100011960,0,0.0,0.0
0100100012102,2,121405.0,0.9951422720467288
0100100011710,2,123460.0,0.996569078903391
0100100013083,1,123560.0,0.996637902571543
0100100012009,6,128190.0,0.9997649211305142
0100100012121,4,126135.0,0.9983911884332672
0100100010731,3,126215.0,0.9984450844508779
0100100010854,3,127265.0,0.9991493202265096
0100100013204,13,122055.0,0.9955961683325059
0100100010572,7,128325.0,0.9998543939415692
0100100012371,2,11770.0,0.7967834594598341
0100100010500,14,128445.0,0.9999338463450863
0100100012808,8,125860.0,0.9982056598101907
0100100013505,6,112840.0,0.988923274188578
0100100010604,9,123900.0,0.9968714871127623
0100100013613,6,123540.0,0.9966241422950072
0100100010657,15,128445.0,0.9999338463450863
0100100012672,8,126335.0,0.9985258644589787
0100100013740,4,123975.0,0.9969229268179719
0100100010515,15,128445.0,0.9999338463450863
0100100012140,7,128345.0,0.9998676411670242
0100100012795,11,127970.0,0.9996189114979691
0100100010587,4,126180.0,0.9984215091478152
0100100013149,4,121820.0,0.9954323469530992
0100100013011,9,123540.0,0.9966241422950072
0100100012282,8,126180.0,0.9984215091478152
0100100013524,2,122740.0,0.9960718966896874
0100100011405,9,120610.0,0.9945838066827808
0100100012761,4,124280.0,0.9971317948528162
0100100013793,8,123270.0,0.9964381602186904
0100100013219,10,128325.0,0.9998543939415692
0100100011551,5,126215.0,0.9984450844508779
0100100013670,0,0.0,0.0
0100100010549,12,128445.0,0.9999338463450863
0100100014151,3,106880.0,0.9843106009487375
0100100012066,4,121695.0,0.9953450791200591
0100100013257,3,125215.0,0.9977689155913737
0100110253952,2,118660.0,0.9931982452932834
0100100010411,6,128245.0,0.9998013843854945
0100100012333,7,125530.0,0.9979824896310715
0100100012085,4,123135.0,0.9963450163662396
0100100013736,8,120750.0,0.9946824193292829
0100100010303,12,128545.0,1.0
0100100010727,10,127385.0,0.9992294340782788
0100100013492,2,88555.0,0.9683228184980646
0100100012403,1,116965.0,0.9919752478029535
0100100010407,10,128245.0,0.9998013843854945
0100100012954,13,125355.0,0.9978639036402875
0100100012598,10,128245.0,0.9998013843854945
0100100013810,0,0.0,0.0
0100100010784,4,128325.0,0.9998543939415692
0100100013187,11,127230.0,0.9991259394567306
0100100012390,1,122390.0,0.9958291564610584
0100100013897,14,117650.0,0.9924716180642849
0100103574293,0,0.0,0.0
0100100012352,6,126805.0,0.9988415157542042
0100100013844,0,0.0,0.0
0100100013878,2,120255.0,0.9943332391540167
0100100013863,0,0.0,0.0
0100100014344,0,0.0,0.0
0100100011458,10,125665.0,0.9980738573510846
0100100013882,9,122180.0,0.9956831789037437
0100100013562,2,123165.0,0.9963657238220982
0100100013346,11,125235.0,0.9977824918129744
0100100013312,9,124945.0,0.9975854240629531
0100100014522,0,0.0,0.0
0100100013986,1,122865.0,0.9961584219144032
0100100014096,2,42050.0,0.90501533057504
0100110254541,0,0.0,0.0
0100100013327,11,124945.0,0.9975854240629531
0100100013308,6,123540.0,0.9966241422950072
0100100014005,3,111185.0,0.9876673050693098
0100100014062,6,97030.0,0.9760918654011503
0100100012723,10,125355.0,0.9978639036402875
0100100011320,2,124655.0,0.9973878983863217
0100100011674,5,123395.0,0.9965243136192306
0100100014109,4,119240.0,0.9936127258729789
0100100012992,0,0.0,0.0
0100100014325,3,116390.0,0.9915563372350791
0100100013806,7,123270.0,0.9964381602186904
0100100013609,8,120570.0,0.9945556106161069
0100100012668,14,125865.0,0.9982090366746565
0100100013331,7,124825.0,0.997503744961051
0100100013577,2,123975.0,0.9969229268179719
0100100013596,3,115695.0,0.9910472306508821
0100100012935,6,124745.0,0.9974492485918819
0100103574289,0,0.0,0.0
0100103574382,0,0.0,0.0
0100102394185,0,0.0,0.0
0100103574170,2,122440.0,0.9958638761044504
0100110253967,3,120155.0,0.9942625232155196
0100110253948,2,116975.0,0.9919825149714123
0100102933666,1,63905.0,0.9405923952376585
0100103574166,0,0.0,0.0
0100104792899,4,122440.0,0.9958638761044504
0100104792757,0,0.0,0.0
0100104793933,0,0.0,0.0
0100104792742,1,111275.0,0.98773608474466
0100100014452,2,116100.0,0.9913442748530443
0100100013914,0,0.0,0.0
0100100014024,3,94285.0,0.9736524148638751
0100100013350,2,115470.0,0.9908817564684214
0100100014363,0,0.0,0.0
0100100013365,0,0.0,0.0
0100100012687,5,124745.0,0.9974492485918819
0100100010106,3,120940.0,0.9948160680606543
0100100010182,2,84690.0,0.964529413028683
0100100010996,2,104060.0,0.9820376746741178
0100100011000,2,122440.0,0.9958638761044504
0100100014147,6,116660.0,0.9917533001894668
0100100014518,2,122440.0,0.9958638761044504
0100100011161,5,112700.0,0.9888177446376621
