cve_ageb,transit_demand,accessibility_score,coverage_gap_raw,coverage_gap_n,demand_quantile,access_quantile,gap_category
0100100011405,13479.410094189185,120610.0,0.11175937596230182,0.01146396213979731,5,3,Medium-gap
0100100011424,50.88376128014249,0.0,50.88376128014249,0.42731392032478344,1,1,Medium-gap
0100100011439,6534.559381934407,122060.0,0.05353519454972847,0.005643193075555365,4,3,Medium-gap
0100100011458,16696.391000027576,125665.0,0.13286323269641412,0.013498756629450836,5,4,Medium-gap
0100100011462,7054.7516058453,125155.0,0.056367665999594904,0.005933724156308553,4,4,Medium-gap
0100100011477,719.1421277596684,124745.0,0.0057648511997151685,0.0006220116800685837,1,4,Low-gap
0100100011481,186.05109059716185,0.0,186.05109059716185,0.5660772212598981,1,1,Medium-gap
0100100011509,3150.4213301687228,127145.0,0.02477798224221543,0.0026484968872939685,3,5,Medium-gap
0100100011528,12768.800463691494,123715.0,0.10321058281622017,0.010628689254767029,5,3,Medium-gap
0100100011547,4097.820902103041,126335.0,0.032435892398865254,0.0034541017644155497,3,4,Medium-gap
0100100011551,587.3528305422043,126215.0,0.004653552881902487,0.0005023834964826464,1,4,Low-gap
0100100011636,2568.704661660871,125625.0,0.020447237527748005,0.0021902375187368133,2,4,Low-gap
0100100011674,5282.270316217426,123395.0,0.04280746795858396,0.0045357064927892005,4,3,Medium-gap
0100100011689,8908.353349614228,122975.0,0.07243977157830982,0.007567655892248799,5,3,Medium-gap
0100100011693,5854.28384893836,124120.0,0.04716594169349554,0.004987025434078753,4,4,Medium-gap
0100100011710,5437.461064505333,123460.0,0.04404193279258497,0.004663726227558517,4,3,Medium-gap
0100100011744,10659.374367712076,123015.0,0.08665030864043764,0.008992066697222207,5,3,Medium-gap
0100100011782,1807.5045944892704,0.0,1807.5045944892704,0.8115874569246722,2,1,Medium-gap
0100100011956,0.0,0.0,0.0,0.0,1,1,Medium-gap
0100100011960,0.0,0.0,0.0,0.0,1,1,Medium-gap
0100100011975,11323.035950683545,127230.0,0.08899588897897168,0.00922538642842525,5,5,Medium-gap
0100100011994,1094.6154716807127,128055.0,0.008547943647159936,0.0009210248082003155,2,5,Low-gap
0100100012009,5029.787584936302,128190.0,0.03923666704321131,0.004164542882470252,4,5,Medium-gap
0100100012013,2717.3685634659078,127955.0,0.021236742032150955,0.002273924012294189,3,5,Medium-gap
0100100012028,2171.704963070564,128090.0,0.016954391511273738,0.001819221658708752,2,5,Low-gap
0100100012032,4549.325021317005,126315.0,0.036015429726376745,0.003828618546244956,3,4,Medium-gap
0100100012047,3651.5860267339904,125845.0,0.0290163058558396,0.003095105451911093,3,4,Medium-gap
0100100012051,6629.297277148481,125435.0,0.052850037287130336,0.005572798087705697,4,4,Medium-gap
0100100012066,9210.728521847075,121695.0,0.07568637031494113,0.007894739232549226,5,3,Medium-gap
0100100012070,1509.5287803315734,125845.0,0.011995047759416854,0.0012902369588472702,2,4,Low-gap
0100100012085,1695.5455963431646,123135.0,0.013769698515001011,0.001479826012637673,2,3,Medium-gap
0100100012102,329.7681954692772,121405.0,0.002716242981971873,0.0002935206915655914,1,3,Medium-gap
0100100012117,4252.2288019558,127385.0,0.033380660370494405,0.003553076123441769,3,5,Medium-gap
0100100012121,5467.043087927858,126135.0,0.04334244853117158,0.0045912050591508545,4,4,Medium-gap
0100100012136,3402.345888348289,125885.0,0.0270271983250583,0.002885735016587699,3,4,Medium-gap
0100100012140,5048.763626467453,128345.0,0.0393371326450957,0.004175003111669367,4,5,Medium-gap
0100100012155,7543.264688481866,126985.0,0.059402333237379444,0.0062441316361196144,5,5,Medium-gap
0100100012174,7780.219888753608,125665.0,0.06191189254654089,0.0065001563684626415,5,4,Medium-gap
0100100012189,6114.9097470769175,126335.0,0.04840195785110275,0.005114672759593931,4,4,Medium-gap
0100100012193,10178.8673449142,122270.0,0.08324841822602416,0.00865277715876572,5,3,Medium-gap
0100100012206,8931.384969176836,123015.0,0.07260344157814297,0.007584168752129445,5,3,Medium-gap
0100100012210,9196.41654516661,118735.0,0.07745263900726494,0.008072270174643981,5,3,Medium-gap
0100100012225,6285.880654595414,115610.0,0.054370956523128545,0.0057289996604512955,4,2,High-gap
0100100012259,1710.370312755248,126695.0,0.013499797252914442,0.0014510133966550113,2,5,Low-gap
0100100012263,0.0,124820.0,0.0,0.0,1,4,Low-gap
0100100012278,7089.936099733745,128445.0,0.05519779595887568,0.005813823275774051,5,5,Medium-gap
0100100012282,6154.012412175459,126180.0,0.048771307979612294,0.0051527875209378534,4,4,Medium-gap
0100100012297,6846.375839995799,127385.0,0.05374511987185247,0.005664752232705671,4,5,Medium-gap
0100100012314,5600.16386497336,127030.0,0.04408501755456039,0.004668191583243816,4,5,Medium-gap
0100100012329,6506.246238236588,125135.0,0.05199340108551167,0.005484720399197997,4,4,Medium-gap
0100100012333,4544.671243764094,125530.0,0.036203577154361025,0.0038482680638437282,3,4,Medium-gap
0100100012348,6710.331158534725,123375.0,0.054389274725511645,0.005730879604434763,4,3,Medium-gap
0100100012352,6775.06529498794,126805.0,0.05342858614724808,0.0056322428358919875,4,5,Medium-gap
0100100012367,6339.446781982921,126650.0,0.05005445501403795,0.005285096509901287,4,5,Medium-gap
0100100012371,91.69328536039544,11770.0,0.0077897617331064,0.0008396482292971615,1,2,Medium-gap
0100100012386,316.633306475258,117940.0,0.0026846754434442476,0.0002901140317446648,1,3,Medium-gap
0100100012390,0.0,122390.0,0.0,0.0,1,3,Medium-gap
0100100012403,0.0,116965.0,0.0,0.0,1,2,Medium-gap
