cve_ageb,vehicle_rate,total_demand,transit_propensity,transit_demand
1903100011781,0.33185185185185184,21022.981431638313,0.6681481481481482,14046.466112102044
1903100011809,0.6570048309178744,5518.278059138998,0.3429951690821256,1892.7427159365645
1903100011813,0.33004926108374383,11385.969081995625,0.6699507389162562,7628.038399760617
1903100011832,0.35456831517183574,34539.02686773311,0.6454316848281643,22292.582303566214
1903100011847,0.4520166898470097,20849.3993495236,0.5479833101529903,11425.122870253545
1903100011851,0.43796526054590573,23537.318064934614,0.5620347394540943,13228.790426073674
1903100011866,0.4274193548387097,76929.09985823615,0.5725806451612903,44048.11362850618
1903100011870,0.4244052187260169,36067.83118308128,0.5755947812739831,20760.455400852617
1903100011885,0.3705357142857143,20835.404544331166,0.6294642857142857,13115.1430390656
190310001189A,0.32413793103448274,7613.580431111127,0.6758620689655173,5145.730222406141
1903100011902,0.2649140546006067,29169.942270060325,0.7350859453993933,21442.414590833017
1903100011917,0.4292682926829268,6392.8780864338105,0.5707317073170732,3648.6182249402727
1903100011921,0.6157354618015963,27266.639269290336,0.38426453819840367,10477.60254703631
1903100011936,0.27455919395465994,12086.845726117996,0.7254408060453401,8768.291106100713
1903100011940,0.48872180451127817,24930.550524240396,0.5112781954887218,12746.446884574036
1903100011955,0.33210332103321033,7761.118391236896,0.6678966789667897,5183.625198575197
190310001196A,0.2776280323450135,10277.1573094744,0.7223719676549865,7423.930347544849
1903100011974,0.5215686274509804,21591.651747285807,0.4784313725490196,10330.123581054386
1903100011989,0.4785714285714286,16408.76220859001,0.5214285714285714,8555.997437336218
1903100011993,0.3248730964467005,34351.27011218107,0.6751269035532995,23191.46662395981
1903100012008,0.2838095238095238,14137.169810548743,0.7161904761904763,10124.906378602529
1903100012012,0.29846153846153844,10713.112161467858,0.7015384615384616,7515.660224045144
1903100012027,0.2784552845528455,12802.921748720657,0.7215447154471545,9237.880530072833
1903100012031,0.14814814814814814,729.1312359762306,0.8518518518518519,621.1117936093816
1903100012046,0.4752475247524752,12211.349037572516,0.5247524752475248,6407.935633577657
1903100012050,0.4935064935064935,11203.705229944831,0.5064935064935066,5674.603947634396
1903100012065,0.17157712305025996,15470.044616806017,0.82842287694974,12815.73886799528
190310001207A,0.7205298013245033,21269.30903598326,0.2794701986754967,5944.13802197678
1903100012084,0.2019115890083632,25696.599194758783,0.7980884109916369,20508.15801923401
1903100012116,0.0,0.0,1.0,0.0
1903100012120,0.53125,2687.025432065139,0.46875,1259.543171280534
1903100012135,0.5714285714285714,168.55046115446407,0.4285714285714286,72.23591192334175
190310001214A,0.0,0.0,1.0,0.0
1903100450088,0.6060606060606061,917.17023729794,0.3939393939393939,361.3094874204006
1903100450092,0.62120232708468,54693.43878147985,0.37879767291531996,20717.74733416108
1903100450105,0.710691823899371,4853.340809334666,0.289308176100629,1404.1111775433628
1903100450266,0.58157602663707,29637.705444915566,0.41842397336293,12401.126473621716
1903100450321,0.5492227979274611,6319.579139844238,0.4507772020725389,2848.7222029349678
1903100450393,0.5812395309882747,41701.4085620867,0.41876046901172526,17462.901407909
1903100450533,0.28125,857.0489966738153,0.71875,616.0039663593047
1903100450641,0.5129411764705882,14264.013350618168,0.48705882352941177,6947.413561359908
1903100450656,0.5045662100456622,56770.762160611885,0.49543378995433784,28126.15385582826
1903100450675,0.5284237726098191,24972.855752774576,0.4715762273901809,11776.60510305261
1903100450815,0.8582995951417004,40690.46933267152,0.1417004048582996,5765.855978313778
1903100450834,0.5281837160751566,42693.199802552495,0.4718162839248434,20143.346879701177
1903100450887,0.6927083333333334,7198.72010504016,0.30729166666666663,2212.106698944632
1903100450891,0.3444976076555024,30032.12336470822,0.6555023923444976,19686.12871275132
1903100450904,0.4188034188034188,18622.990825546796,0.5811965811965811,10823.618599463094
1903100451086,0.9969418960244648,34382.54704672176,0.003058103975535187,105.14540381260541
1903100451090,0.8258928571428571,24203.38489172723,0.1741071428571429,4213.982190970367
1903100451103,0.35365853658536583,15755.065392768738,0.6463414634146342,10183.152022155404
1903100451118,0.4349315068493151,8906.255131626043,0.5650684931506849,5032.644166843483
1903100451122,0.4977578475336323,40416.699484422395,0.5022421524663677,20298.970144642637
1903100451211,0.9651162790697675,2431.1899106699702,0.03488372093023251,84.80895037220814
1903100451226,0.41768707482993195,25004.803832528964,0.582312925170068,14560.62046302367
1903100451283,0.6204033214709371,24923.11058817804,0.37959667852906287,9460.729997884902
1903100451387,0.3700980392156863,11829.166618723888,0.6299019607843137,7451.215247578527
1903100451391,0.6347826086956522,5733.807533809033,0.3652173913043478,2094.0862297389513
1903100451438,0.8873239436619719,3745.8552712196292,0.11267605633802813,422.0681995740426
1903100451442,0.3358208955223881,4155.699934029805,0.664179104477612,2760.129060661587
1903100451461,0.4067796610169492,1657.7859421855344,0.5932203389830508,983.432338584639
1903100451635,0.6703517587939698,28859.609358111647,0.3296482412060302,9513.519466794594
190310045164A,0.4375,8455.85300222238,0.5625,4756.417313750089
1903100451828,0.5409356725146199,9821.901764408332,0.45906432748538006,4508.884728105579
1903100452099,0.26941747572815533,11547.192576664747,0.7305825242718447,8436.177100912837
1903100452101,0.7202072538860104,9526.233139918708,0.27979274611398963,2665.370930339949
1903102240961,0.4852459016393443,20466.659942857677,0.5147540983606558,10535.297085339855
1903102240976,0.4466750313676286,27625.351712768683,0.5533249686323714,15285.796869925958
1903102241495,0.21818181818181817,2574.7770239301803,0.7818181818181819,2013.0074914363229
1903103111508,0.6815533980582524,29491.50454881209,0.31844660194174756,9391.4694097188
1903103111512,0.4794069192751236,19467.43684350095,0.5205930807248764,10134.612920175123
1903103111527,0.48123620309050774,16298.816887266012,0.5187637969094923,8455.236133570668
190310311171A,0.6694677871148459,9436.399057427816,0.3305322128851541,3119.0338621189985
1903103130355,0.41014799154334036,31808.470687305296,0.5898520084566596,18762.290320841814
1903103130406,0.4473684210526316,18410.926880330386,0.5526315789473684,10174.459591761528
1903103130410,0.43478260869565216,26604.860535147265,0.5652173913043479,15037.529867691934
1903103130425,0.45315161839863716,19537.29122763772,0.5468483816013628,10683.936088708191
