cve_ageb,npp_score,equity_score,final_score,priority_rank,priority_quintile
1505100260307,0.5058022909542651,0.3269433526690045,0.47003050329721296,255,3
1505100010275,0.5143545621309794,0.1788859188664071,0.447260833478065,315,3
1505100010186,0.4051023601495619,0.03424537034185975,0.3309309621880215,496,1
1505100010260,0.5219031626595124,0.17379669377889245,0.45228186888338845,304,3
1505100240379,0.5283444311246515,0.3451369497833386,0.49170293485638894,193,4
1505100260434,0.3921234690496241,0.3306233536665648,0.37982344597301226,451,1
1505100240491,0.36297735388360136,0.2056233536665648,0.3315065538401941,495,1
1505100070294,0.4849860803089098,0.3305362873674589,0.45409612172061964,295,3
1505100010472,0.42831403342604385,0.2056233536665648,0.3837758974741481,444,1
1505100240398,0.5555290119674263,0.3711199433158858,0.5186471982371182,129,4
1505100170400,0.5579080788036407,0.4968489429052634,0.5456962516239653,80,5
1505100260326,0.5164887075174814,0.3141815766352317,0.47602728134103156,239,3
1505100200449,0.2696544129320838,0.3306233536665648,0.28184820107898,519,1
1505100220364,0.6076867330215102,0.4801409235659484,0.5821775711303978,31,5
1505100010241,0.5710371063198729,0.1838390532123624,0.49359749569837086,188,4
1505100260311,0.5322769551706616,0.195785630526142,0.46497869024175775,270,3
1505100280504,0.3903829788016659,1.0,0.5123063830413328,152,4
1505100010468,0.48924253336326173,0.19206849038238474,0.42980772476708634,359,2
1505100260345,0.38723336326965174,0.18383727594860735,0.34655414580544286,482,1
1505100210078,0.5756159306348076,0.3679025869776873,0.5340732619033837,94,5
1505100860487,0.39297262086870294,0.0127503746302199,0.31692817162100634,509,1
1505400350417,0.3670825534028464,0.32589053993192807,0.35884415070866277,471,1
1505400350402,0.4992721034444682,0.32862708429710163,0.46514309961499495,269,3
1505400350648,0.5299331365364472,0.33999331247412545,0.49194517172398294,191,4
1505400470652,0.4988997938366981,0.22518875557651513,0.4441575861846615,321,3
1505400320031,0.591193769536979,0.36436863364277366,0.5458287423581379,79,5
1505400370968,0.5643346675178157,0.1764487673826297,0.4867574874907785,211,4
1505400381025,0.473828389355838,0.03423641835648885,0.3859099951559682,436,1
1505400491241,0.4823412939523083,0.0557039539439914,0.39701382595064494,418,2
1505400491203,0.4894283759517308,0.02536651470345385,0.3966160037020754,419,2
1505400491167,0.5521338711338954,0.16135658144567672,0.4739784131962517,248,3
1505400491222,0.3453235869553915,0.0067341923285377,0.27760570803002077,520,1
1505400491218,0.5139359534841538,0.1593766152000377,0.4430240858273306,323,3
1505400320794,0.37613832369288613,0.0188493058694962,0.3046805201282081,512,1
1505400340864,0.5407620614206801,0.1654836312690952,0.46570637539036314,268,3
1505400550775,0.20197548297964918,0.2056233536665648,0.20270505711703232,532,1
1505400350811,0.5634173366773215,0.3331989030465559,0.5173736499511684,134,4
1505400010332,0.5330897458017783,0.0448026012731489,0.43543231689605244,345,2
1505400381006,0.4663918127082665,0.01822365887234925,0.37675818194108307,455,1
1505400491133,0.5054984424597573,0.02010561986352265,0.4084198779405104,393,2
1505400340898,0.4833194265056413,0.03078349959594935,0.39281224112370294,421,2
1505400320760,0.4697768173082737,0.5022135159574606,0.4762641570381111,237,3
1505400381082,0.5154260497119947,0.1624445923944827,0.44482975824849236,319,3
1505400381097,0.5230049627907252,0.2133398406364744,0.46107193835987503,284,3
1505400430741,0.5458469096713852,0.33561087344291557,0.5037997024256913,165,4
1505400010563,0.5909114386462453,0.21509634996888805,0.5157484209107739,141,4
1505400010578,0.5835528955037964,0.1887576644304558,0.5045938492891283,163,4
1505400550506,0.5545595486627212,0.3538135236603595,0.5144103436622488,146,4
1505400491186,0.5104765706632142,0.1735650572908878,0.4430942679887489,322,3
1505400491237,0.4798681767898012,0.0378171864519725,0.3914579787222355,423,2
1505400470667,0.5763555330176031,0.34668964492393556,0.5304223553988696,102,5
1505400370915,0.5479121608293241,0.18250213343893346,0.474830155351246,243,3
1505400340879,0.41790312234481114,0.0192834956491609,0.3381791970056811,489,1
1505400010722,0.6142805441280335,0.20788681608887238,0.5330017985202012,97,5
1505400370949,0.5256818483651544,0.16263240130616036,0.4530719589533556,300,3
1505400431256,0.3970394188401691,0.36191647844031444,0.39001483076019816,431,1
1505400381078,0.5112101173132289,0.03935125334977865,0.4168383445205388,381,2
1505400491152,0.5108962508234703,0.03345899586762355,0.415408799832301,383,2
1505400370991,0.490396673010316,0.20804378051744782,0.43392609451174236,350,2
1505400381010,0.5206785935066061,0.0272845986354045,0.42199979453236575,376,2
1505400350633,0.5779255824862579,0.3306233536665648,0.5284651367223193,104,5
1505400491190,0.4977706265197891,0.16274285676213054,0.4307650725682574,358,2
1505400491129,0.49412766737900365,0.01527901152008575,0.3983579362072201,415,2
1505400491148,0.49909274891408684,0.05334618339979435,0.4099434358112284,392,2
1505400491114,0.539350722734951,0.1655551114763176,0.46459160048322434,271,3
1505400340826,0.5185899536201414,0.03810376443832425,0.42249271578377795,374,2
1505400340845,0.5320767665384699,0.0337752495784884,0.43241646314647364,352,2
1505400340830,0.47200161360487125,0.0385244302007701,0.38530617692405106,438,1
1505400340883,0.5328474262742815,0.0118400284540348,0.4286459467102322,363,2
1505400370972,0.45430463955315703,0.2008063642140002,0.40360498448532567,402,2
1505400340900,0.21168977378337706,0.013835364644549,0.17211889195561145,535,1
1505400370934,0.5328843714183096,0.0458533059579079,0.43547815832622927,344,2
1505400370953,0.5514389006932231,0.16423393974527145,0.47399790850363277,247,3
1505400381044,0.5143266027400649,0.0162596218234108,0.4147132065567341,384,2
1505400381059,0.5038319111867157,0.02089908743760825,0.4072453464368942,394,2
1505400370987,0.5323945955704696,0.17603441118448485,0.4611225586932727,283,3
1505400010703,0.5578773301206033,0.18545762277878125,0.4833933886522389,223,3
1505400010718,0.41125850186429863,0.1680953370545924,0.3626258689023574,468,1
1505400381063,0.5339302480958134,0.035355931382454,0.4342153847531415,347,2
