route_id,route_short_name,route_long_name,route_km,n_stops,straight_line_km,detour_ratio,connects_to_existing,n_served_agebs,f1_demand_gain,f2_route_km,f3_equity,composite_score,total_score,pareto_rank,feasible,flag,overlap_route_id
C37-V2,C37-V2,"Troncal C37-V2 - 614 ""Rosario""",23.42165577309545,103,11.773114493516466,1.989,True,45,0.00434375093076085,23.42165577309545,0.5756046016478754,0.2030644365669343,0.2030644365669343,5,False,Indirect,
C38-V1,C38-V1,"Troncal C38-V1 - 615 ""Vocacional - La Punta""",23.802474708203135,120,15.769306415078722,1.509,True,55,0.0038202898539000042,23.802474708203135,0.5632033792314266,0.19626717876006386,0.19626717876006386,6,False,Redundant,C39-V1
C38-V2,C38-V2,"Troncal C38-V2 - 615 ""Vocacional - CU Tonala""",24.566628295705918,125,14.443325500280485,1.701,True,54,0.010692977133942624,24.566628295705918,0.5515697596443435,0.19386351458081252,0.19386351458081252,6,False,Redundant,C39-V1
C39-V1,C39-V1,"Troncal C39-V1 - 615 ""Hospicio""",23.053272027095268,122,17.636057664861116,1.307,True,53,0.0037646614476622158,23.053272027095268,0.5685221874917996,0.20378460809481821,0.20378460809481821,6,False,Low demand,
C39-V2,C39-V2,"Troncal C39-V2 - 615 ""Hospital Civil""",24.658320535966894,130,18.294805743070807,1.348,True,55,0.003517042208844667,24.658320535966894,0.5668280388209497,0.1897380474476913,0.1897380474476913,7,False,Redundant,C39-V1
C40,C40,"Troncal C40 - 619 ""Naranja""",19.900230045670522,104,13.415561443267565,1.483,True,40,0.020652229929293327,19.900230045670522,0.5917217208200316,0.25274740975371357,0.25274740975371357,3,False,Low demand,
C41-V1,C41-V1,"Troncal C41-V1 - 619 ""Amarilla Chulavista - Central de Autobuses""",28.115036520377913,123,16.343163930648025,1.72,True,51,0.020978249657552406,28.115036520377913,0.5141305543956755,0.165218917253322,0.165218917253322,8,False,Indirect,
C41-V2,C41-V2,"Troncal C41-V2 - 619 ""Amarilla Cantaros - Central de Autobuses""",25.804293181999814,83,16.343163930648025,1.579,True,34,0.03808530471848504,25.804293181999814,0.5419531541009159,0.2085378167270489,0.2085378167270489,5,True,Indirect,
C42,C42,Troncal C42 - 624,18.114745445764093,127,10.584506438615895,1.711,True,35,0.0012839326078042106,18.114745445764093,0.5426913635077599,0.23600056143671008,0.23600056143671008,7,False,Indirect,
C43-V1,C43-V1,"Troncal C43-V1 - 636 ""Belenes""",20.17004615158213,69,7.771723924434605,2.595,True,40,0.001638099295788677,20.17004615158213,0.5337907704727713,0.21700207398413043,0.21700207398413043,8,False,Indirect,
C43-V2,C43-V2,"Troncal C43-V2 - 636 ""Haciendas del Valle""",18.17755776192998,108,11.24502123279725,1.616,True,40,0.0021617577943698974,18.17755776192998,0.5555963156443501,0.23958118868937428,0.23958118868937428,5,False,Indirect,
C43-V3,C43-V3,"Troncal C43-V3 - 636 ""Valdepeñas""",18.398291258922445,113,11.24502123279725,1.636,True,42,0.002136321358950765,18.398291258922445,0.5546791879273318,0.23748702451643,0.23748702451643,6,False,Redundant,C43-V2
C44,C44,"Troncal C44 - 637 ""Martinica""",8.204638262146808,54,4.60086807364706,1.783,True,20,0.009200834212125947,8.204638262146808,0.5483247578524836,0.32791003815735675,0.32791003815735675,2,False,Indirect,
C45-V1,C45-V1,"Troncal C45-V1 - 637 ""Centinela""",7.659660571400231,48,5.695025539107446,1.345,True,19,0.010501265951171932,7.659660571400231,0.5166245047277774,0.3258268873714477,0.3258268873714477,2,False,,
C45-V2,C45-V2,"Troncal C45-V2 - 637 ""Cinco Esquinas""",6.918902774241547,37,4.640212075374072,1.491,True,16,0.0014452388327933152,6.918902774241547,0.5320561651586587,0.32680175700377845,0.32680175700377845,2,False,,
C46-V1,C46-V1,"Troncal C46-V1 - 643 ""Altamira""",24.067742547383716,175,17.321492938769957,1.389,True,42,0.002357434706351887,24.067742547383716,0.5479514047403558,0.1887807646632432,0.1887807646632432,8,False,Low demand,
C46-V2,C46-V2,"Troncal C46-V2 - 643 ""Urbiquintas""",28.27286821277401,187,18.197201995501008,1.554,True,53,0.0020452854100604374,28.27286821277401,0.5395733241121521,0.15133138133164836,0.15133138133164836,11,False,Indirect,
C47-V1,C47-V1,"Troncal C47-V1 - 644A ""Juntas - Vergel""",13.266161485908006,78,8.495659210846243,1.562,True,20,0.024560142965410144,13.266161485908006,0.5761700778969384,0.30805131672374475,0.30805131672374475,2,False,Indirect,
C47-V2,C47-V2,"Troncal C47-V2 - 644A ""Km 13""",17.311856530878977,75,13.013614949188003,1.33,True,30,0.019428032674249623,17.311856530878977,0.5738828657670775,0.26863327802536086,0.26863327802536086,3,False,Low demand,
