cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1403900015436,3812,975,2498,339,197,466,390,893
1403900015440,4067,1053,2604,410,214,472,448,915
140390001546A,2692,708,1725,259,141,321,284,610
1403900015474,3387,785,2238,364,177,401,430,852
1403900015489,1073,268,682,123,54,121,168,280
1403900015493,3692,902,2442,348,183,474,429,858
1403900015506,4440,1225,2873,342,244,551,432,975
1403900015510,2659,656,1797,206,147,344,270,599
1403900015525,4780,1310,3055,415,248,567,458,1024
140390001553A,3719,1050,2419,250,192,485,346,849
1403900015544,2653,763,1656,234,139,306,240,600
1403900015559,2617,625,1782,210,109,308,424,694
1403900015563,3227,634,2317,276,125,369,643,976
1403900015578,5104,1359,3461,284,239,681,605,1251
1403900015582,3,*,*,*,*,*,*,*
1403900015597,2948,734,2037,177,162,390,480,793
140390001560A,2420,537,1733,150,119,309,502,715
1403900015614,2645,711,1786,148,151,328,384,633
1403900015629,4321,1106,2830,385,226,541,481,961
1403900015633,0,0,0,0,0,0,0,0
1403900015648,1687,249,1200,238,53,173,598,651
1403900015652,2202,190,1620,392,39,225,654,827
1403900015667,5008,972,3804,232,297,712,1279,1350
1403900015671,3934,925,2828,181,222,562,712,1023
1404400000000,67969,20689,43982,3295,3821,8146,7420,19555
1404400010000,9561,2530,6174,857,544,1126,1397,2586
1404400010064,284,92,177,15,24,21,31,71
1404400010079,131,29,85,17,6,15,30,43
1404400010083,627,178,409,40,41,69,81,149
1404400010098,3326,841,2149,336,174,398,435,906
1404400010100,1954,484,1255,215,103,235,285,530
1404400010280,1544,474,984,86,79,188,225,418
1404400010295,1128,304,743,81,77,146,172,298
1404400010308,90,22,60,8,6,3,23,27
1404400010312,187,36,131,20,14,22,47,56
1404400010327,170,35,110,25,11,17,45,56
1404400010331,114,34,66,14,7,11,21,30
1404400010365,6,*,*,*,*,*,*,*
1404400020000,6794,1641,4585,568,375,906,1063,1813
140440002005A,311,64,222,25,12,56,59,85
1404400020115,1972,385,1334,253,87,248,323,551
140440002012A,2462,588,1659,215,149,344,327,635
1404400020134,1198,352,801,45,64,144,224,329
1404400020149,16,4,12,0,*,5,*,4
1404400020153,69,16,46,7,*,12,12,17
1404400020168,58,18,40,0,5,4,9,13
1404400020172,116,33,77,6,11,14,18,32
1404400020187,383,114,260,9,27,57,58,93
1404400020346,90,32,55,3,6,8,14,23
1404400020350,119,35,79,5,11,14,17,31
1404400050000,2637,713,1703,221,142,341,418,686
1404400050257,360,113,225,22,15,43,58,94
1404400050261,2046,546,1322,178,114,265,322,533
1404400050276,231,54,156,21,13,33,38,59
1404400100000,9753,3086,6400,267,577,1175,747,3116
1404400100223,3500,1110,2276,114,212,407,255,1125
1404400100238,2689,822,1784,83,172,306,208,861
1404400100242,2554,764,1729,61,140,338,212,842
140440010037A,1010,390,611,9,53,124,72,288
1404400540000,15279,5300,9681,295,887,1724,1067,4616
1404400540401,5087,1806,3188,90,313,548,373,1488
1404400540416,3439,1104,2240,95,190,400,245,1131
1404400540420,4154,1502,2592,60,210,488,278,1217
1404400540435,2599,888,1661,50,174,288,171,780
1404401700000,3318,1156,2110,52,157,389,335,1024
1404401700219,983,334,632,17,48,114,92,307
1404401700384,933,357,569,7,31,120,76,286
1404401700399,1402,465,909,28,78,155,167,431
1405100000000,30855,9832,19492,1526,1549,3533,4231,8232
1405100010000,9626,2472,6324,830,535,1216,1612,2677
140510001004A,1615,432,1089,94,99,224,272,449
1405100010054,3562,864,2328,370,180,391,563,1002
1405100010069,2229,509,1456,264,121,290,393,643
1405100010073,823,231,556,36,39,132,145,214
1405100010088,61,23,37,*,*,6,14,15
1405100010092,282,71,187,24,22,34,50,73
1405100010105,0,0,0,0,0,0,0,*
140510001011A,17,5,11,*,*,*,4,5
1405100010124,21,4,11,6,0,*,5,8
1405100010139,341,114,218,9,29,56,39,90
1405100010143,185,64,113,8,11,20,28,44
1405100010158,136,37,93,6,10,17,30,39
1405100010162,334,108,215,11,21,42,65,90
1405100010177,20,10,10,0,*,0,4,5
1405100020000,16635,6011,10326,293,778,1775,1784,4387
1405100020181,3748,1325,2335,83,212,361,475,894
1405100020196,4540,1695,2775,70,185,436,549,1261
1405100020209,3501,1201,2232,68,165,423,338,945
1405100020213,4846,1790,2984,72,216,555,422,1287
1407000000000,232852,65557,157211,9906,12893,30189,24727,57945
1407000010000,27876,7444,18604,1799,1520,3444,3988,7840
1407000010030,1816,321,1202,293,85,198,269,558
1407000010045,2546,525,1657,364,115,255,385,767
1407000010098,1971,431,1381,159,87,251,328,558
