cve_ageb,IM_2020,GM_2020,IRS_2020,GRS_2020
1401600100394,115.033534,Muy alto,6.3492063492,Medio
1401600100407,112.6736092,Muy alto,8.2352941176,Alto
1401600100483,110.7534505,Muy alto,8.5714285714,Alto
1401600720110,114.0520261,Muy alto,22.0423412204,Medio
1401600720125,113.0911794,Muy alto,28.4600389864,Alto
140160072013A,113.0658106,Muy alto,26.8292682927,Alto
1401600720197,112.6014474,Muy alto,24.0740740741,Medio
140160072038A,117.3905331,Alto,24.3243243243,Medio
140160089020A,117.3140558,Alto,26.3157894737,Alto
1401600890229,118.3293225,Alto,19.1616766467,Medio
1401600890233,118.6603029,Medio,16.6180758017,Medio
1401700010071,119.2149186,Medio,14.8148148148,Medio
1401700010122,120.3372248,Medio,16.1125319693,Medio
1401700010137,120.4450332,Medio,7.9754601227,Bajo
1401700010141,120.5180285,Medio,11.7863720074,Medio
1401700010156,121.0298662,Medio,8.0,Medio
1401700010160,121.9581828,Bajo,6.8965517241,Bajo
1401700010175,121.7399605,Bajo,11.1111111111,Medio
140170001018A,116.7197346,Alto,18.3333333333,Medio
1401700010194,121.745596,Bajo,20.0,Medio
1401700010207,121.4740719,Bajo,15.625,Medio
140180001005A,118.7234179,Medio,14.1439205955,Bajo
1401800010083,120.5244374,Medio,21.7898832685,Bajo
1401800010115,121.0859341,Medio,17.4962292609,Bajo
140180001012A,119.7922556,Medio,20.1733648542,Medio
1401800010134,119.1774129,Medio,23.7215909091,Medio
1401800010149,121.6599407,Bajo,19.4904458599,Bajo
1401800010153,117.3508884,Alto,22.3262032086,Medio
1401800010187,118.9407759,Medio,21.8375499334,Medio
1401800010191,116.9325852,Alto,30.859375,Medio
1401800010204,120.9280586,Medio,17.8571428571,Medio
1401800010219,122.2986874,Bajo,21.8446601942,Bajo
1401800010223,118.4908401,Alto,28.2352941176,Medio
1401800010257,114.7691602,Muy alto,33.3333333333,Alto
1401800010261,124.4566336,Muy bajo,11.5183246073,Muy bajo
1401800010276,120.4732306,Medio,20.0,Medio
1401800010312,118.316821,Alto,26.8131868132,Medio
1401800010327,117.3815896,Alto,27.8656126482,Medio
1401800010331,109.3055596,Muy alto,50.8474576271,Alto
1401800010346,124.6909053,Muy bajo,18.3908045977,Muy bajo
1401800010401,123.2740951,Bajo,10.1796407186,Bajo
1401800010469,115.9603363,Alto,33.3333333333,Alto
1401800010539,125.0355603,Muy bajo,19.4174757282,Bajo
1401800010558,122.1252194,Bajo,20.4081632653,Medio
1401800270100,119.2139873,Medio,11.2781954887,Medio
1401800270172,115.761456,Alto,23.2472324723,Medio
1401800270280,119.1483005,Medio,21.8181818182,Medio
1401900010131,120.8992616,Medio,23.3333333333,Medio
1402000010166,118.2145871,Alto,28.1437125749,Medio
1402000010170,120.5768646,Medio,23.0769230769,Medio
1402000010185,119.4303863,Medio,20.7627118644,Medio
140200001019A,120.4147158,Medio,25.6157635468,Medio
1402000010202,117.8512367,Alto,23.8095238095,Medio
1402000010217,118.7016663,Medio,31.884057971,Medio
1402000010274,112.617383,Muy alto,47.5,Alto
1402100010106,114.6067608,Muy alto,30.5750350631,Alto
1402100010110,123.724874,Muy bajo,6.0931899642,Bajo
1402100010125,120.0520758,Medio,17.2972972973,Medio
140210001020A,120.6022305,Medio,13.0990415335,Medio
1402100010214,119.2092062,Medio,17.7852348993,Medio
1402100010248,124.8472141,Muy bajo,8.2706766917,Bajo
1402100010356,123.4402994,Bajo,14.1221374046,Bajo
1402100010360,121.1836017,Bajo,13.3126934985,Medio
1402100010394,122.7171348,Bajo,9.6774193548,Medio
140210003013A,116.9749499,Alto,22.5,Alto
1402100030182,117.7136756,Alto,12.5,Medio
1402100030341,119.6460296,Medio,0.0,Bajo
1402100030375,117.166808,Alto,15.0442477876,Medio
140210003038A,116.6306859,Alto,21.768707483,Medio
1402100150430,118.4842204,Alto,15.0,Medio
1402100150445,118.7681919,Medio,15.2671755725,Medio
140210015045A,119.3647742,Medio,12.2641509434,Medio
1402100180144,120.4911288,Medio,13.963963964,Medio
1402100180159,119.2291359,Medio,15.873015873,Medio
1402200010137,120.789168,Medio,20.6008583691,Medio
1402200010141,118.2530982,Alto,31.8584070796,Medio
1402200010156,113.1933874,Muy alto,39.1459074733,Alto
1402200010160,118.273852,Alto,30.101010101,Medio
1402200010175,115.9158285,Alto,35.1084812623,Alto
140220001018A,119.974659,Medio,23.4285714286,Medio
1402200010194,120.4706935,Medio,21.9298245614,Medio
1402200010207,118.3876869,Alto,27.6785714286,Medio
1402200010211,120.845351,Medio,30.6201550388,Medio
1402200010349,116.7844582,Alto,45.8333333333,Alto
1402200010353,115.9190264,Alto,46.2962962963,Alto
1402200010419,114.6916699,Muy alto,30.0,Medio
1402200010423,111.9998228,Muy alto,61.1111111111,Alto
1402200010480,115.7110653,Alto,17.6470588235,Medio
1402200010508,108.6455957,Muy alto,37.6470588235,Alto
1402200010512,112.5790352,Muy alto,42.8571428571,Alto
1402200060387,120.1031037,Medio,19.1558441558,Medio
1402200060391,118.5591099,Alto,28.7522603978,Medio
1402200060404,117.0533051,Alto,34.3333333333,Medio
1402200060527,118.7398622,Medio,15.625,Medio
1402200160584,116.1900647,Alto,29.537366548,Alto
1402200160599,115.3253658,Alto,22.9390681004,Medio
1402200160601,119.2410715,Medio,22.3880597015,Medio
1402200160616,121.2046401,Bajo,20.0,Medio
1402200330122,118.4950104,Alto,30.755711775,Medio
1402200330230,119.0085337,Medio,31.9109461967,Medio
1402200330279,120.8402761,Medio,20.5673758865,Medio
1402200330283,119.0150977,Medio,30.985915493,Medio
1402200330298,119.5512558,Medio,12.9032258065,Medio
1402200330315,117.1707649,Alto,24.2424242424,Medio
140220033032A,118.7733877,Medio,27.9569892473,Medio
1402200330334,118.9159217,Medio,35.6568364611,Medio
1402200330368,120.2392728,Medio,50.0,Medio
1402300010045,121.9451548,Bajo,14.8018648019,Bajo
1402300010064,122.8578405,Bajo,16.9387755102,Muy bajo
1402300010079,121.6075162,Bajo,19.6754563895,Bajo
1402300010083,121.7981424,Bajo,14.7183525136,Bajo
1402300010100,121.0379695,Medio,22.1864951768,Bajo
1402300010115,123.5430629,Bajo,7.8947368421,Bajo
1402300010153,122.130056,Bajo,26.4232008593,Bajo
1402300010168,122.9460135,Bajo,13.5245901639,Bajo
1402300010172,122.4884631,Bajo,7.1428571429,Bajo
1402300010187,120.1762699,Medio,22.7138643068,Medio
1402300010191,122.8356223,Bajo,12.4324324324,Bajo
1402300010223,124.4204492,Muy bajo,11.4485981308,Muy bajo
1402300010238,122.7527287,Bajo,14.0435835351,Bajo
1402300010242,120.343722,Medio,17.6890156919,Medio
1402300010257,121.2773198,Bajo,16.7195767196,Bajo
