cve_ageb,POBTOT,POB0_14,POB15_64,POB65_MAS,P_15A17,P_18A24,VPH_AUTOM,VIVPAR_HAB
1901800010279,2632,596,1901,135,133,469,340,643
1901800010283,1148,312,785,51,68,149,142,294
1901800010315,3870,947,2749,174,214,639,381,1019
190180001032A,544,142,392,8,42,95,79,133
1901800010334,536,169,356,11,21,78,66,169
1901800010349,2646,647,1897,102,207,434,262,672
1901800010372,3188,884,2267,34,186,676,340,860
1901800010387,491,136,334,21,37,89,37,96
1901800010391,654,203,430,21,48,82,72,161
1901800010404,404,125,278,*,9,98,27,125
1901800010423,645,180,448,17,47,94,82,169
1901800010438,6868,1965,4795,108,541,961,757,1791
1901800010442,4535,1261,3201,73,367,602,637,1198
1901800010457,465,134,318,13,32,65,49,120
1901800010461,2922,989,1903,30,182,375,314,775
1901800010476,4732,1410,3243,58,343,634,503,1255
1901800010480,537,172,358,7,37,66,51,135
1901800010512,25,6,17,*,0,*,7,7
1901800010527,2533,826,1613,94,189,333,169,629
1901800010531,3555,1164,2345,44,252,365,393,985
1901800010546,3736,1108,2573,54,257,508,433,1006
1901800010550,3359,1051,2262,46,284,394,400,884
1901800010565,3564,1086,2428,50,269,483,420,916
190180001057A,748,242,491,15,46,95,81,201
1901800010584,2625,858,1738,29,137,310,311,729
1901800010599,5529,1760,3703,61,374,690,730,1457
1901800010654,5217,1736,3399,81,387,596,466,1361
1901800010669,2373,715,1596,62,151,265,132,746
1901800010673,2397,820,1550,27,129,267,219,647
1901800010688,1119,388,716,15,52,125,104,309
1901800010692,1367,426,924,17,72,175,118,382
1901800010705,2896,922,1937,37,177,363,336,800
190180001071A,1173,398,747,28,57,134,147,329
1901800010762,1302,457,825,20,77,145,117,345
1901800010777,673,219,445,9,36,91,57,186
1901800010781,1232,394,816,22,74,151,116,363
1901800010796,2264,802,1436,26,114,230,266,623
1901800010809,3150,1068,2041,41,148,335,388,901
1901800010813,1205,430,764,11,51,142,145,345
1901800010847,647,215,425,7,36,94,54,183
1901800010851,2676,935,1718,23,155,279,229,736
1901800010866,6047,1920,4041,85,356,668,493,1649
190180001089A,1083,397,677,9,43,95,110,296
1901800010917,185,66,114,5,7,19,9,57
1901800010921,1827,656,1160,11,102,167,187,483
1901800010936,7375,2274,4996,94,351,1009,553,2218
1901800010955,85,28,53,4,5,8,11,28
190180001107A,6321,2159,4078,84,330,720,551,1770
1901800011084,3923,1276,2593,48,152,462,243,1130
1901800011099,2384,888,1467,29,82,298,238,682
1901800011101,1659,646,1002,11,58,131,146,447
1901800011135,6649,2186,4387,76,285,849,550,1873
190180001114A,6666,2269,4342,55,284,797,534,1880
1901800011169,515,186,323,6,18,55,34,139
1901800011173,1884,714,1157,13,58,229,155,510
1901800011188,1379,492,874,13,53,154,142,390
1901800011192,761,243,513,5,19,82,160,244
1901800011205,0,0,0,0,0,0,0,0
190180001121A,2992,1003,1948,41,147,442,198,835
1901800011224,3116,1076,2011,29,158,348,299,844
1901800011239,3116,1096,2003,17,100,424,236,887
1901800011313,2745,933,1780,32,98,357,335,764
1901800011328,4254,1470,2757,27,199,504,388,1180
1901800011332,2077,609,1452,16,84,343,148,612
1901800011347,5735,1993,3706,36,211,705,524,1628
1901800011366,1976,666,1295,15,62,334,126,519
1901800011370,4748,1570,3135,43,196,571,438,1469
1901800011417,738,254,474,10,40,75,36,206
1901800011421,0,0,0,0,0,0,0,0
1901800011436,2739,960,1764,15,114,361,228,755
1901800011440,3622,1268,2319,29,135,506,247,1024
1901800011455,1013,350,653,10,35,158,120,296
190180001146A,3219,1064,2129,26,150,460,305,931
1901800011474,3728,1294,2400,33,132,619,285,1048
1901800011510,3791,1183,2580,28,136,546,248,1160
1901800011525,4904,1700,3182,20,156,740,392,1408
190180001153A,2300,757,1524,19,104,314,243,644
1901800011559,3279,1123,2134,22,103,587,265,916
1901800011563,1397,477,910,10,55,186,181,417
1901800011578,1450,516,921,13,54,237,87,423
1901800011652,1045,324,717,4,35,223,52,320
1901800011667,1252,448,792,12,62,154,88,333
1901800011671,1542,563,970,9,71,198,91,449
1901800011686,1755,543,1199,9,78,341,83,472
1901800011690,3152,1058,2075,19,118,511,252,943
1901800011703,2483,843,1615,25,84,374,301,710
1901800011741,874,293,572,7,35,166,56,259
1901800011775,0,0,0,0,0,0,0,*
190180001178A,0,0,0,0,0,0,0,0
1901800250000,39998,13149,26302,543,1886,4400,4646,11359
190180025096A,1674,549,1091,34,85,162,207,469
1901800250974,4112,1279,2772,61,206,419,536,1190
1901800250989,4224,1346,2800,78,236,462,527,1162
1901800250993,3202,1042,2105,55,161,301,417,906
1901800251008,2930,1000,1883,47,155,292,352,828
1901800251046,5888,1943,3850,94,278,667,533,1578
1901800251050,3919,1374,2494,51,210,355,474,1078
1901800251243,800,231,542,27,33,88,179,229
1901800251385,830,269,547,14,28,71,194,230
1901800251402,5703,1977,3683,41,230,561,605,1629
1901800251489,0,0,0,0,0,0,0,0
1901800251544,2165,746,1400,19,70,245,229,639
1901800251648,4551,1393,3135,22,194,777,393,1421
1901801050000,41487,13180,27738,561,2216,4622,5886,11635
1901801050160,5037,1571,3406,58,171,409,1339,1480
1901801050300,0,0,0,0,0,0,0,0
1901801050353,2315,568,1671,73,134,370,250,571
