origin_zone,dest_zone,dist_km,observed_flow,modeled_flow_beta20,modeled_flow_calibrated
32,41,11.97,308.00,114.55,172.50
01,06A,12.37,308.00,2135.49,3300.34
35,22,14.50,306.00,322.27,565.57
35,24B,16.01,306.00,1159.90,2203.84
51F,12F,14.41,305.00,28.24,49.32
12F,51F,14.18,305.00,6.05,10.44
24B,32,13.72,304.00,862.05,1447.85
68A,15,15.13,303.00,70.61,128.20
32,24B,13.50,303.00,618.81,1025.48
49F,07,20.79,303.00,33.61,78.67
15,68A,16.68,303.00,154.18,302.63
42,30F,24.96,302.00,336.43,911.52
09,57,15.28,302.00,441.76,808.61
30F,42,25.42,302.00,93.62,257.39
06B,16,16.23,301.00,286.56,550.25
52,24B,23.88,300.00,452.86,1184.47
16,06B,15.36,300.00,763.72,1403.45
24B,52,24.04,300.00,375.61,987.59
37F,09,15.06,300.00,802.65,1451.64
68A,37F,19.36,298.00,168.22,372.04
37F,51F,14.83,298.00,26.63,47.57
68A,40,11.11,298.00,127.04,180.20
38,41,21.81,295.00,322.75,785.05
41,38,20.51,295.00,170.98,395.96
51F,37F,16.59,294.00,20.88,40.80
44,14F,15.26,294.00,113.10,206.80
01,61,13.10,294.00,194.73,315.01
14F,44,13.91,294.00,60.84,103.31
06B,52,15.81,293.00,972.95,1830.04
70A,03,27.46,292.00,50.66,148.14
54,07,26.10,291.00,171.42,481.30
06A,24A,11.05,290.00,165.58,233.86
45,06A,20.36,289.00,308.24,709.71
65B,11F,28.81,288.00,30.95,94.04
41,32,12.43,287.00,539.12,836.34
44,06A,13.65,285.00,2561.16,4282.97
03,44,38.77,285.00,24.10,92.85
29F,02F,7.02,285.00,167.83,164.84
09,20,10.42,285.00,361.20,486.72
06A,44,14.48,285.00,239.42,419.82
68B,30F,20.62,283.00,621.84,1445.92
49F,50,7.18,283.00,0.63,0.63
50,49F,7.45,282.00,2.66,2.74
29F,70A,14.25,282.00,318.52,551.42
18,23,19.04,281.00,75.71,165.20
23,18,17.95,280.00,351.01,730.78
32,65B,21.26,280.00,90.18,214.95
65B,32,21.54,280.00,163.29,393.21
13,35,8.81,279.00,335.87,395.61
13,32,9.54,279.00,187.54,235.60
35,13,8.61,279.00,165.15,191.10
02F,29F,9.06,279.00,105.76,127.44
32,13,9.05,279.00,56.61,68.19
65B,57,16.79,279.00,149.43,294.86
20,35,6.70,277.00,1121.80,1062.21
25,65B,11.63,277.00,558.05,821.06
26,65A,9.93,277.00,634.40,822.58
35,20,6.88,277.00,210.98,203.95
46F,69A,18.25,276.00,1180.74,2490.79
16,57,18.90,274.00,122.91,266.66
03,70A,28.36,272.00,157.31,472.02
37F,21A,14.86,270.00,1694.02,3032.71
06B,24A,9.69,270.00,1231.59,1566.20
24A,68A,17.08,270.00,128.83,257.77
30F,25,8.22,270.00,157.80,175.85
68A,24A,16.99,270.00,209.21,416.74
24A,06B,10.62,270.00,353.10,483.06
06A,65B,13.99,268.00,370.38,631.57
65B,06A,14.25,268.00,2929.77,5070.74
52,59,10.31,267.00,29.72,39.71
60,30,26.25,267.00,36.11,101.85
30,60,27.48,267.00,61.20,179.07
63F,17,36.06,264.00,0.91,3.32
39F,61,31.89,264.00,45.80,150.96
45,61,37.40,264.00,9.34,34.97
61,39F,33.95,264.00,21.11,73.14
70A,11F,28.78,263.00,28.57,86.74
11F,70A,25.23,263.00,306.73,838.36
38,40,22.81,262.00,53.09,133.85
40,38,20.91,262.00,31.09,73.11
61,08,24.55,262.00,278.08,743.44
08,30F,23.76,262.00,741.01,1929.89
08,61,23.42,262.00,268.32,691.00
30F,08,22.32,262.00,129.04,319.75
08,17,27.44,262.00,212.27,620.42
70A,29F,14.26,261.00,83.57,144.71
68A,14F,19.14,261.00,112.41,246.32
52,06B,16.06,260.00,362.48,690.46
46F,05,18.98,259.00,246.69,536.93
59,52,9.88,259.00,167.68,216.58
57,37F,6.29,259.00,285.10,256.64
22,42,20.16,258.00,106.62,243.57
65B,25,12.28,258.00,159.47,244.99
32,39F,12.78,257.00,30.45,48.32
39F,32,13.64,257.00,312.06,521.41
14F,09,24.79,256.00,32.28,86.97
09,14F,26.61,256.00,113.64,324.05
45,02F,13.47,256.00,63.16,104.48
26,21A,11.71,255.00,877.70,1298.43
21A,26,10.26,255.00,243.55,324.19
14F,68A,18.78,254.00,45.54,98.29
39F,52,17.22,254.00,261.67,526.84
52,39F,17.37,254.00,37.81,76.65
57,39F,9.11,254.00,56.97,68.94
06A,30F,14.95,253.00,324.31,583.40
45,32,14.61,253.00,76.22,134.59
22,35,13.88,252.00,190.42,322.68
18,16,18.84,246.00,157.58,340.95
16,18,16.97,246.00,715.20,1423.64
37F,57,7.52,246.00,673.60,699.04
23,30F,9.53,246.00,1090.07,1367.26
30F,23,9.35,245.00,78.13,96.55
20,03,18.21,245.00,54.55,114.87
03,20,18.85,244.00,13.64,29.53
02F,45,14.01,243.00,12.86,21.97
59,32,15.19,242.00,53.11,96.72
03,38,33.55,242.00,17.61,60.44
41,57,19.50,241.00,121.78,270.81
57,41,18.71,241.00,44.53,95.82
18,57,12.00,239.00,521.18,786.05
32,68B,18.35,239.00,283.80,601.28
57,18,10.28,239.00,419.28,558.99
17,68B,28.58,238.00,86.19,260.22
68B,17,28.74,238.00,122.31,370.94
23,06A,12.50,238.00,2180.52,3398.44
16,60,33.31,236.00,48.39,165.14
68A,29F,20.43,236.00,55.40,127.90
40,24B,19.38,236.00,263.72,583.74
08,44,16.97,234.00,1005.95,2001.78
11F,65B,29.82,234.00,90.75,283.45
44,08,15.31,234.00,496.53,910.01
24A,06A,11.82,232.00,980.68,1462.03
49F,70A,24.09,232.00,21.96,57.82
43,13,18.91,232.00,87.92,190.84
30F,06A,16.57,232.00,960.80,1875.85
53,37F,27.31,231.00,2.57,7.48
21A,37F,13.13,229.00,210.03,340.53
51F,02F,14.14,229.00,30.43,52.36
02F,51F,13.03,229.00,17.96,28.94
29F,68A,20.70,227.00,58.97,137.59
01,18,16.02,226.00,422.55,803.26
25,07,16.44,226.00,770.30,1494.96
18,01,17.56,226.00,106.90,218.68
68B,32,19.28,226.00,311.84,687.23
07,25,18.35,226.00,155.69,329.83
05,22,18.87,226.00,657.19,1423.70
32,05,14.65,226.00,188.45,333.45
05,32,15.02,226.00,723.17,1305.30
22,05,18.69,226.00,155.58,334.54
54,24B,32.80,225.00,108.72,366.46
42,34,13.17,225.00,1390.36,2259.49
35,44,25.46,225.00,115.06,316.72
44,35,23.31,225.00,170.44,437.23
50,11F,37.97,224.00,0.54,2.03
59,04,15.20,224.00,4.90,8.93
04,59,14.50,224.00,2.70,4.74
11F,50,35.96,224.00,0.38,1.39
51F,39F,9.25,223.00,28.12,34.45
13,43,18.69,222.00,207.88,446.86
41,03,16.05,221.00,176.89,336.71
10,35,15.08,220.00,1.91,3.45
02F,12F,24.09,220.00,41.67,109.74
42,22,20.64,220.00,309.44,720.26
16,30F,25.19,220.00,283.78,774.66
09,01,9.01,219.00,558.71,670.32
69B,08,16.12,219.00,303.61,579.91
08,69B,16.15,219.00,2832.57,5417.62
69B,41,20.54,218.00,89.62,207.77
41,14F,33.75,218.00,31.68,109.27
65A,41,21.57,218.00,25.12,60.57
41,69B,20.64,218.00,786.65,1831.20
14F,41,31.99,218.00,6.69,22.10
42,02F,15.09,217.00,283.98,514.62
11F,54,21.52,216.00,6.66,16.04
54,11F,24.68,216.00,10.34,27.76
69A,35,15.47,216.00,284.24,525.35
35,69A,17.05,216.00,1624.32,3245.36
22,69B,12.18,215.00,653.38,997.33
22,52,21.41,215.00,70.17,168.18
26,09,16.23,214.00,221.93,426.32
09,26,16.98,214.00,302.51,602.42
32,30F,16.71,212.00,146.22,287.40
60,30F,29.67,212.00,92.69,288.38
39F,24B,16.11,212.00,1407.87,2687.94
30F,60,31.41,212.00,23.14,75.34
24B,39F,14.45,212.00,216.38,378.62
11F,37F,13.83,211.00,123.03,207.86
20,49F,13.12,211.00,12.44,20.16
49F,20,12.85,211.00,2.96,4.71
20,68A,19.13,210.00,194.50,426.05
30F,06B,14.53,210.00,362.88,637.82
46F,07,25.55,210.00,378.74,1045.51
54,57,26.92,210.00,14.25,41.01
06B,30F,13.53,210.00,2267.75,3764.99
34,22,7.53,209.00,1438.40,1494.35
02F,03,25.72,209.00,29.50,81.88
06B,29F,8.60,208.00,599.29,692.55
61,40,25.51,207.00,22.19,61.20
61,42,30.36,207.00,170.99,541.89
40,61,23.21,207.00,23.44,59.93
42,61,28.16,207.00,93.02,277.58
16,21A,12.32,206.00,2847.49,4386.60
30F,44,23.67,204.00,94.62,245.74
68A,30F,22.41,204.00,431.37,1072.19
44,30F,23.47,204.00,251.47,648.70
06A,29F,9.09,201.00,93.77,113.27
65A,11F,23.78,201.00,7.64,19.91
42,39F,21.69,200.00,54.33,131.56
39F,69B,22.51,200.00,461.32,1150.60
03,43,35.57,198.00,77.03,277.04
11F,06B,18.80,196.00,228.58,493.69
39F,57,10.50,195.00,292.66,396.77
13,29F,6.55,194.00,97.10,90.22
29F,13,6.38,194.00,74.87,68.12
68A,22,17.58,194.00,440.86,902.55
37F,11F,13.97,193.00,118.97,202.62
02F,42,16.52,192.00,235.26,458.36
16,30,24.49,192.00,91.56,244.35
45,37F,16.62,192.00,39.13,76.59
37F,45,18.93,192.00,13.53,29.38
34,59,14.82,191.00,19.91,35.56
59,07,22.04,191.00,158.54,388.86
46F,69B,16.65,191.00,571.35,1119.88
44,34,20.43,190.00,381.95,881.77
44,32,20.98,190.00,138.05,325.52
34,44,20.76,190.00,208.05,486.53
09,22,18.34,190.00,791.75,1676.43
30,44,24.81,190.00,174.33,470.13
32,44,21.91,190.00,58.87,143.72
22,68A,16.90,190.00,181.46,359.94
44,30,23.12,190.00,79.02,201.39
60,44,35.72,190.00,44.28,159.81
35,09,13.92,189.00,648.16,1100.89
54,21B,30.60,189.00,142.02,452.90
09,35,14.23,189.00,1396.77,2414.91
15,39F,33.80,188.00,4.85,16.74
39F,15,34.46,188.00,8.31,29.15
25,14F,14.38,187.00,69.48,121.13
14F,25,15.15,187.00,10.32,18.75
20,32,6.78,187.00,719.69,687.57
35,10,13.48,187.00,2.56,4.24
32,20,6.50,187.00,89.53,82.72
26,63F,6.47,186.00,2.27,2.09
63F,26,6.29,186.00,16.19,14.57
59,42,20.67,185.00,51.63,120.32
14F,30F,22.36,184.00,34.01,84.41
59,34,15.50,184.00,133.86,247.73
04,42,30.09,184.00,14.68,46.18
03,21A,36.91,184.00,92.13,341.25
46F,01,14.24,183.00,47.38,81.98
43,29F,12.09,183.00,201.92,306.49
01,46F,12.64,183.00,31.06,48.84
65A,42,23.35,182.00,42.10,108.15
07,23,17.30,182.00,112.37,227.07
23,07,16.19,182.00,1040.70,1994.48
04,60,17.85,180.00,15.74,32.62
60,04,17.49,180.00,10.81,22.04
29F,37F,6.36,180.00,192.43,174.82
26,70A,14.65,178.00,565.36,1000.42
59,06A,22.25,178.00,194.36,480.31
70A,26,13.76,178.00,173.26,291.62
30F,14F,21.82,178.00,30.59,74.42
18,54,18.59,177.00,34.02,72.83
69B,22,11.93,177.00,415.06,623.35
57,17,13.65,177.00,79.51,132.95
60,24B,28.62,177.00,275.11,831.62
24B,60,31.17,177.00,113.65,367.74
69B,17,24.23,176.00,61.18,161.87
17,69B,24.61,176.00,87.65,234.82
26,24A,18.63,174.00,40.28,86.39
24A,26,17.23,174.00,27.65,55.70
24A,02F,20.32,174.00,29.76,68.40
29F,09,13.75,174.00,165.07,277.62
02F,24A,22.71,174.00,43.95,110.40
18,59,18.62,174.00,29.96,64.22
20,34,11.41,174.00,666.53,965.62
34,20,12.18,174.00,80.94,123.54
68A,03,31.52,173.00,52.34,170.88
03,68A,32.29,173.00,47.40,157.77
45,29F,10.60,173.00,35.27,48.18
29F,45,11.32,173.00,6.49,9.34
63F,21A,15.21,173.00,32.21,58.72
52,11F,21.55,172.00,29.94,72.14
34,54,20.10,172.00,12.25,27.92
11F,69B,26.45,172.00,203.86,578.54
69B,11F,24.86,172.00,22.61,61.06
11F,52,19.72,172.00,121.81,273.31
54,34,22.67,172.00,94.82,237.88
29F,06A,13.07,171.00,539.50,871.42
29F,43,15.12,171.00,218.05,395.73
02F,53,15.48,171.00,3.23,5.98
01,08,11.96,171.00,556.65,837.60
01,09,8.79,171.00,1430.13,1682.61
08,01,11.98,171.00,312.55,470.75
60,41,17.48,171.00,107.51,219.06
53,02F,17.25,171.00,6.83,13.77
25,38,14.27,168.00,140.56,243.57
38,25,15.75,168.00,213.85,401.07
59,70A,25.10,167.00,107.22,291.81
02F,41,21.31,166.00,72.05,172.02
41,02F,18.80,166.00,165.81,358.15
60,21A,29.28,166.00,228.39,702.96
29F,06B,9.80,165.00,278.77,357.63
17,09,26.63,164.00,49.41,141.01
09,17,28.40,164.00,200.60,602.59
03,68B,36.30,164.00,92.99,339.87
54,18,21.97,162.00,100.38,245.57
53,10,11.41,162.00,0.22,0.32
15,35,33.74,162.00,26.66,91.91
37F,25,15.60,161.00,89.20,165.98
25,37F,15.20,161.00,95.17,173.48
12F,34,18.25,159.00,112.20,236.63
09,29F,12.81,159.00,275.30,437.61
34,12F,17.31,159.00,128.50,259.86
59,37F,12.74,158.00,50.11,79.30
14F,26,11.48,158.00,26.63,38.76
37F,59,12.18,158.00,35.50,54.21
54,32,20.07,157.00,46.13,104.96
52,22,21.89,156.00,122.78,299.53
60,65A,34.09,156.00,87.56,304.37
17,57,13.62,155.00,39.49,65.94
03,02F,26.44,155.00,23.11,65.55
32,49F,19.74,154.00,2.98,6.68
