stop_id,stop_name,stop_lat,stop_lon
P337,Primavera,21.897874,-102.298591
P338,Eucalipto,21.896961,-102.301985
P339,Aquiles Serdan,21.89644,-102.303827
P340,Guillermo H. Miramontes,21.898139,-102.304953
P342,Salud Digna,21.901879,-102.306973
P343,Asientos,21.905047,-102.308591
P344,Plaza Palmas,21.908519,-102.310207
P345,Lagos De Moreno,21.910757,-102.311223
P346,San Jose De Los Reynosos,21.912376,-102.311971
P347,Plaza Universidad,21.915175,-102.313075
P348,Sierra Fria,21.917449,-102.313894
P349,Colosio,21.923578,-102.316844
P350,Graneros,21.925078,-102.317677
P351,Montecristo,21.928175,-102.319342
P352,Cami,21.931394,-102.320973
P353,El Molino,21.936018,-102.324117
P354,Gustavo Díaz,21.941452,-102.324543
P355,José López,21.947338,-102.324881
P356,Independencia,21.950794,-102.324479
P357,Ibarra,21.951262,-102.327261
P358,Telebachillerato Maravillas,21.951893,-102.330407
P359,Imss 6,21.955427,-102.338426
P360,Inepja Jesús María,21.95692,-102.340157
P361,Deportiva,21.958348,-102.341833
P362,San Miguel,21.961864,-102.342574
P364,Benito Juárez,21.965515,-102.342699
P365,Beltran,21.9661,-102.346312
P366,Vista Alegre,21.966824,-102.349689
P367,Av. Constitución,21.967876,-102.350855
P368,Terminal La Escalera,21.971797,-102.349923
P369,Terminal La Escalera,21.971816,-102.349825
P370,15 De Septiembre,21.970908,-102.350918
P372,Emiliano Zapata,21.967431,-102.351124
P373,Felipe Angeles,21.964025,-102.351343
P374,Beltran,21.962011,-102.347498
P375,Parroquia Jesús Nazareno,21.961426,-102.345677
P376,San Lorenzo,21.96003,-102.346059
P377,Aldama,21.9592,-102.344355
P378,Hidalgo,21.95815,-102.342034
P379,Lienzo Charro,21.956939,-102.3406
P380,Imss 6,21.955105,-102.338526
P381,Naranjos,21.952292,-102.333133
P382,Rosales,21.951556,-102.329812
P383,Primaria Ford,21.951077,-102.326971
P384,Guadalupe,21.950392,-102.3244
P385,López Portillo,21.94751,-102.325052
P386,Gustavo Díaz,21.941907,-102.32483
P387,El Molino,21.93823,-102.324577
P388,Las Huertas,21.931641,-102.321475
P389,Colosio,21.923351,-102.31718
P390,Uaa Unidad Medica,21.917777,-102.314331
P391,Uaa,21.9151512,-102.313355
P392,Uaa,21.912584,-102.312367
P393,Uaa,21.910835,-102.31159
P394,Dif Municipal,21.908496,-102.310546
P395,Ugra,21.905144,-102.30893
P396,Issste,21.902322,-102.307463
P397,Plaza Alberia,21.898026,-102.305147
P398,Primaria Ignacio Ramírez,21.896379,-102.303759
P399,Laurel,21.896894,-102.301808
P400,Delegación Pocitos,21.895395,-102.299592
P401,Centro De Salud Arboledas,21.893257,-102.298422
P402,Rio Santiago,21.89122,-102.297367
P403,Colegio Alexander Hamilton,21.889763,-102.297524
P404,Benjamín De La Mora,21.887902,-102.298107
P405,Larreategui,21.886126,-102.298475
P406,Valentín Gómez,21.884953,-102.298745
P407,Mercado Juárez,21.883699,-102.298448
P408,Plaza De La Tecnología,21.883111,-102.296818
P409,El Parián,21.882987,-102.295035
P410,Servicio Nacional De Empleo,21.859112,-102.298355
P411,Mahatma,21.857826,-102.295937
P412,Hotel Gya Express,21.857295,-102.293031
P413,Comercial Villasunción,21.850459,-102.291848
P414,Gregorio Uíz,21.84545,-102.286684
P415,Ángel Dorronsoro,21.841646,-102.28561
P416,Texas Instruments,21.84218,-102.282295
P417,Pepsi,21.838728,-102.280381
P418,Carolina Villanueva,21.836716,-102.280361
P419,Correos De México,21.836133,-102.283422
P420,Bomberos,21.835161,-102.288275
P421,Casimira Arteaga,21.849984,-102.320237
P422,Jesús Romo,21.850578,-102.321796
P423,Anita Brenner,21.85271,-102.321092
P424,Antonio Hernández,21.852081,-102.319529
P425,Crena,21.853856,-102.317101
P426,Mariano Azuela,21.855494,-102.316145
P427,Velaria Mall,21.858199,-102.314368
P428,Fortunato Maycote,21.858969,-102.313386
P429,Francisco Carrera,21.858741,-102.31065
P430,Belisario Domínguez,21.85844,-102.307573
P431,Parque Del Papa Juan Pablo,21.861696,-102.302216
P432,Biomaterna,21.862884,-102.303284
P433,Torre Bella Vista,21.865831,-102.303049
P434,Piva,21.961705,-102.284004
P435,Virreyes,21.961433,-102.273412
P436,Olivares Santana,21.960898,-102.271969
P437,Culhuacán,21.955958,-102.249132
P438,Tanayuca,21.957247,-102.246829
P439,Piva,21.96221,-102.285499
P440,Central De Autobuses,21.866351,-102.29925
P441,Américas,21.866291,-102.303173
P442,Comercial El Dorado,21.862851,-102.303687
P443,Parque Del Papa Juan Pablo,21.861492,-102.302463
P444,Madrid,21.859431,-102.303735
P445,Santana,21.859009,-102.30499
P446,Lima,21.858952,-102.31032
P447,Av. De Los Maestros,21.859263,-102.313254
P448,Velaria Mall,21.857845,-102.314823
P449,Agostaderito,21.855719,-102.316305
P450,Gerardo Murillo,21.853591,-102.317909
P451,Casimira Arteaga,21.853966,-102.318919
P452,Jesús Romo,21.854498,-102.320248
P453,Rosaura Zapata,21.841472,-102.294272
P455,Canario,21.841794,-102.298855
P456,Potreros,21.842823,-102.301402
P458,Josefa Ortiz,21.873013,-102.288933
P459,San Francisco,21.87477,-102.289322
P460,5 De Febrero,21.877198,-102.289273
P461,Wasco,21.87938,-102.290035
P462,Gamez Orozco,21.89647,-102.295507
P463,Primaria Reforma,21.898878,-102.295762
P464,Bachuaa,21.899739,-102.296296
P465,Margil De Jesús,21.90054,-102.299006
P466,Roble,21.900422,-102.300455
P467,Instituto Alpes,21.909723,-102.303197
P468,Agropecuario,21.914239,-102.29724
P469,Heb,21.916507,-102.297371
P470,Montes Himalaya,21.920371,-102.297617
P471,Colosio,21.923546,-102.297841
P472,Salvador Rodríguez,21.925896,-102.297992
P473,Reforma,21.932911,-102.297838
P474,Niños Héroes,21.935691,-102.297358
P475,Vicente Piñon,21.920636,-102.3357
P476,Presa Los Sandovales,21.9171582,-102.333333
P477,Cedros Secundaria,21.942309,-102.297367
P478,Siglo Xxi,21.94493,-102.297337
P479,Av. Independencia,21.946111,-102.298047
P480,Grupo San Cristóbal,21.9469,-102.302417
P481,Paraíso,21.948548,-102.308474
P483,Imss 3,21.955883,-102.308628
P484,Viña Real,21.954148,-102.308857
P485,Viña Antigua,21.948574,-102.311683
P486,San Isidro,21.949779,-102.318463
P487,Diego Flores,21.971174,-102.350914
P488,Solidaridad,21.9713,-102.353715
P489,Madero,21.96946,-102.354174
P490,Felipe Ángeles,21.963801,-102.351442
P491,Paseo De Las Maravillas,21.950363,-102.323134
P492,Maravilla,21.949498,-102.318348
P493,Jardin De Niños Marsellopolis,21.948573,-102.313328
P494,Troje San Cristóbal,21.947688,-102.308132
P495,San Cristóbal,21.946616,-102.30248
P496,Plaza Punta Norte,21.943591,-102.297629
P497,Universidad Cuauhtémoc,21.941399,-102.297439
P498,Díaz,21.936564,-102.297249
P499,Támesis,21.93131,-102.298228
P500,Cedros Primaria,21.926928,-102.29832
P501,Galerías,21.923557,-102.298061
P502,Arnulfo,21.914474,-102.297475
P503,Golf Pulga Pandas,21.912416,-102.2973
P504,Instituto Alpes,21.909775,-102.30318
P505,Rincón De Los Romos,21.903248,-102.303699
P506,Zaragoza,21.900693,-102.299314
P507,Parque Independencia,21.899466,-102.296481
P508,Cfe,21.898803,-102.295896
P509,Profesor José Reyes,21.89622,-102.295643
P510,Primaria Manuel Carpio,21.891965,-102.295126
P511,Soler,21.842765,-102.301569
P512,Canario,21.841711,-102.299104
P513,Del Faisán,21.841479,-102.296145
P515,Villa Sofia,21.858225,-102.233555
P516,Palma Real,21.854914,-102.234395
P517,Palma Cana,21.852979,-102.235639
P518,Palma Brava,21.852912,-102.235452
P519,Mariano Hidalgo,21.854778,-102.234264
P520,Villa Verónica,21.860812,-102.232126
P521,Próceres De La Enseñanza,21.861127,-102.23414
P522,Capilla San Isidro Labrador,21.861573,-102.237844
P523,Palma Manilla,21.863646,-102.240578
P524,Tecuexe,21.865364,-102.242746
P525,Xiuhnel,21.863906,-102.243339
P526,Siglo Xxi,21.863423,-102.246591
P527,Ayuntamiento,21.8665,-102.283606
P528,Diego De Ibarra,21.865905,-102.289749
P529,Imss 1,21.865628,-102.292902
P530,José María Arteaga,21.886819,-102.296499
P531,República De Costa Rica,21.86796,-102.297917
P532,Juan Orozco,21.865345,-102.293053
P533,Jardín De Guadalupe,21.865661,-102.289806
P534,Ayuntamiento,21.866286,-102.283376
P535,Guayacan,21.861018,-102.246792
P536,Celedonia,21.859764,-102.245621
P537,Palma Mexicana,21.862436,-102.243632
P538,Ixtlahuatl,21.864944,-102.242395
P539,Palma Mexicana,21.863464,-102.24069
P540,Palma Datilera,21.862411,-102.237882
P541,Próceres De La Enseñanza,21.861122,-102.234386
P543,Villa Flores,21.85917,-102.232547
P544,Isidro Caldera,21.893784,-102.289462
P545,Obrero Mundial,21.900884,-102.282125
P546,Camino Al Cobano,21.904115,-102.2839
P547,Aries,21.905662,-102.281944
P548,Olmo,21.906457,-102.279645
P549,Parras,21.910029,-102.279719
P550,Moscatel,21.911891,-102.279092
P551,Pensadores Mexicanos,21.91265,-102.27487
P552,Paseo De Los Parques,21.909338,-102.271202
P553,Cuatro Milpas,21.912163,-102.26674
P554,Salvador Novo,21.915824,-102.265603
P555,Rafael Coronel,21.919008,-102.265033
P556,Luis Cuevas,21.921327,-102.263333
P557,Siglo Xxi,21.920628,-102.262087
P558,Ermita De San Sebastián,21.925389,-102.263701
P560,Gaspar De La Fuente,21.92723,-102.262777
P561,Parroquia Santa María Asunta,21.931075,-102.260315
P562,Antonio Ruiz Esparza,21.929852,-102.257011
P563,Federico Mendez,21.932366,-102.254645
P564,Felipe De Ureña,21.932477,-102.253244
P565,Jesús Hernández,21.931352,-102.25122
P566,Celestino López,21.928685,-102.248693
P567,José Contreras,21.932714,-102.246638
P568,Del Puerto,21.936212,-102.248097
P569,Paseo Del Puertecito,21.936541,-102.245911
P570,José Femat,21.937597,-102.244883
P571,Puerto Campeche,21.936604,-102.246196
P572,Celestino López,21.9364,-102.247846
P573,José De Jesús González,21.93169,-102.246859
P574,Parral,21.92893,-102.247995
P575,Circuito Perico,21.931878,-102.251798
P576,María De Jesús,21.933173,-102.254399
P577,Primaria Centenario De La Revolución,21.931597,-102.255321
P578,Ruiz Esparza,21.930002,-102.25723
P579,Instituto Municipal De La Mujer,21.9312,-102.260417
P580,Av. Poliducto,21.928953,-102.26186
P581,Francisco Tenamaztle,21.927308,-102.262909
P582,Ermita De San Sebastian,21.925709,-102.26413
P583,Juan López Elizalde,21.926353,-102.264807
P584,Frutales,21.926847,-102.266135
P585,Adoratrices,21.925557,-102.264517
P586,Frida Kalho,21.918308,-102.265201
P587,Octavio Paz,21.915569,-102.265738
P588,Parque México,21.912369,-102.266642
P589,Parque México,21.909374,-102.271558
P590,Tamarindo,21.906955,-102.278363
P591,Capricornio,21.905942,-102.281389
P592,De La Vid,21.900773,-102.282484
P593,Del Mosto,21.899272,-102.28121
P594,Iglesia Misión Cristiana,21.895435,-102.287822
P595,José María Maytorena,21.849761,-102.301433
P596,José Isabel Robles,21.850418,-102.304456
P597,Tianguis De Las Huertas,21.851,-102.306953
P598,Eugenio Aguirre,21.851507,-102.309603
P599,Martin Espinoza,21.85239,-102.312405
P600,Camilo Arriaga,21.853051,-102.314488
P601,Crena,21.853845,-102.316278
P602,Galerías,21.860452,-102.313166
P603,Navarra,21.861946,-102.312272
P604,Madrid,21.86388,-102.311117
P606,Dif Estatal,21.866984,-102.309275
P607,Auditorio Morelos,21.867635,-102.308126
P609,Av. Las Americas,21.866922,-102.303974
