cve_ageb,n_intersections,n_intersection_density,n_street_density,p_poi_density,p_employment_proxy,p_retail_density,p_service_density,p_land_use_mix,pe_population,pe_pop_density,pe_dep_ratio,pe_youth_share,pe_marginacion,pe_rezago,v_ridership_annual,n_intersections_n,n_intersection_density_n,n_street_density_n,p_poi_density_n,p_employment_proxy_n,p_retail_density_n,p_service_density_n,p_land_use_mix_n,pe_population_n,pe_pop_density_n,pe_dep_ratio_n,pe_youth_share_n,pe_marginacion_n,pe_rezago_n,v_ridership_annual_n
1407000140825,164.96130469135622,53.023276507935925,42596.225179483336,297.519495961196,175.0,138.44966643738826,20.620163086419527,1.2128331833005406,3050,8984.499630511365,0.522977022977023,0.18754098360655738,118.9250816,20.8994708995,0.0,0.7648969880795423,0.6789307208436243,0.8414344181771166,0.6222837089727506,0.550549643662534,0.551214693568067,0.49094107726578456,0.8322930870554089,0.819038859792918,0.854670745800289,0.17432567432567433,0.21354174609226076,0.3471766981345268,0.26124338624375,0.0
1407000200191,125.71292071034469,35.49541290645026,33038.19195696371,372.7018355177278,350.0,143.46062716356982,19.226681990993892,1.1250670787734227,2953,4367.414763031152,0.4575518262586377,0.19776498476125973,121.1171122,20.4398447607,0.0,0.7245209090154222,0.6121801008258878,0.8213769041689054,0.6468113940750431,0.6240525587174963,0.5551557324259692,0.48029946927485095,0.7720645881311661,0.815740621356292,0.7869596761831749,0.1525172754195459,0.2251832071566043,0.259410369934594,0.25549805950875004,0.0
1407000430897,171.58434285364297,95.88536806527107,47454.29677024227,242.23671932279007,135.0,108.50186386333304,5.046598319224793,1.088632933984576,2773,6997.108569605175,0.5326327433628318,0.1997836278398846,116.6520053,29.9715909091,0.0,0.7707524125230518,0.7783369256006367,0.8499595577083641,0.59992058151373,0.5230961742410409,0.5242258627886627,0.28742805085781353,0.7470620673739329,0.8093226457556251,0.83120207402178,0.1775442477876106,0.22748171577833012,0.4381880008824397,0.37464488636375004,0.0
1407000010539,86.01408982230059,24.575454234943027,29299.21244173396,24.575454234943027,0.0,12.287727117471514,0.0,0.6931471805599453,142,1744.8572506809548,0.49473684210526314,0.22535211267605634,119.4630523,15.7894736842,0.0,0.6682800261022144,0.5516709288458366,0.8118965700447118,0.35396977895187387,0.0,0.2887789059510393,0.0,0.4756644315437017,0.5066245514774614,0.7008525161166971,0.16491228070175437,0.25659502632971354,0.3256369837627713,0.19736842105250002,0.0
1407000431132,213.6139172338126,92.37358583083788,51611.4640466458,196.2938698905305,20.0,80.82688760198315,28.86674557213684,1.3026341504234107,1023,5906.136144059197,0.5787037037037037,0.17888563049853373,116.8061097,27.0676691729,0.0,0.8033660340307073,0.7720537667362501,0.8565883114788431,0.5770616372613735,0.3241786929076167,0.491702949788972,0.5425519523652204,0.893917987475646,0.7075889043914287,0.8152905390687197,0.19290123456790123,0.20368641111326782,0.43201784187669723,0.33834586466125,0.0
1407000140948,228.94050372197822,0.0,57848.43008600195,76.3135012406594,0.0,0.0,0.0,0.0,32,2442.032039701101,0.34782608695652173,0.09375,121.52193575,14.2857142857,0.0,0.813687838081884,0.0,0.8655934975995441,0.47476504990588947,0.0,0.0,0.0,0.0,0.3569357308235414,0.7323973730985842,0.11594202898550725,0.10674754025044722,0.24320171091662124,0.17857142857125,0.0
1407000430308,145.0218181574766,95.58256196742775,50068.617805853966,346.0747933303419,500.0,168.09347104616606,6.591900825339845,1.052697040861174,2588,8529.91966798976,0.5732522796352584,0.1955177743431221,116.6212248,33.5453100159,0.0,0.7457439270476283,0.7778042016457344,0.8541926625481957,0.6387399315135084,0.6619400189667066,0.5727318791516481,0.3237797001937253,0.7224014662000962,0.8022769833230451,0.8497967040439449,0.1910840932117528,0.22262444252128302,0.43942041591586056,0.41931637519875,0.0
1407000140219,164.5459271883198,27.01500297121669,37167.16389942057,157.17819910526072,160.0,66.30955274753187,7.367728083059096,1.0952477962500622,1547,3799.291781497474,0.45258215962441317,0.19392372333548805,119.9175793,17.0157068063,0.0,0.7645220037347802,0.5671758133760767,0.8306723965031787,0.5529326119925,0.5410645048185279,0.469900450897472,0.3393212021291362,0.7516014419649261,0.7497746300273904,0.7738793814608916,0.1508607198748044,0.22080939159756374,0.3074382570398273,0.21269633507875,0.0
1407000010717,128.44989166555814,44.95746208294535,35290.06947802088,64.22494583277907,0.0,19.267483749833723,6.422494583277907,1.1682824501765625,826,2652.4902628937757,0.518450184501845,0.19491525423728814,121.1785042,18.7214611872,0.0,0.7277185785418382,0.6514123348996261,0.8265816629868511,0.4561990133746869,0.0,0.3359081319564845,0.32017517317478134,0.8017206491365917,0.6857770178373132,0.7401556589083925,0.17281672816728166,0.22193838876929142,0.2569523064290702,0.23401826484,0.0
1407000430628,28.35142416581846,0.0,18705.96108606043,56.70284833163692,0.0,0.0,0.0,0.0,48,1360.868359959286,0.4838709677419355,0.14583333333333334,121.52193575,23.0769230769,0.0,0.5056674231411461,0.0,0.7764775296322275,0.44281876642824436,0.0,0.0,0.0,0.0,0.39729063870732495,0.6775325651805783,0.16129032258064516,0.16605172927847348,0.24320171091662124,0.28846153846125,0.0
1407001111490,300.0,0.0,56169.18559451026,600.0,0.0,200.0,100.0,1.0114042647073516,278,27800.0,0.4603174603174603,0.18345323741007194,119.0692661,43.3734939759,0.0,0.8539829755403693,0.0,0.8632682061847087,0.6986938940561321,0.0,0.5920281479667925,0.7371592953055559,0.6940647644909407,0.5748538098180271,0.9607102213685552,0.15343915343915343,0.2088872730080694,0.3414037202626199,0.54216867469875,0.0
1407000211005,210.7184891971444,36.330773999507656,43500.250442015546,192.55310219739056,680.0,72.66154799901531,0.0,0.9432942700259782,1887,3427.8085268535474,0.5170691090757702,0.17594064652888183,117.8025966,26.1954261954,0.0,0.8013335176597927,0.6160315891183784,0.8430921439546915,0.5749713808026372,0.6946245083647051,0.47996744937740904,0.0,0.6473250491589266,0.7700437472180942,0.7642218870547653,0.1723563696919234,0.20033313330166955,0.3921196779038336,0.3274428274425,0.0
1407000431081,100.0,0.0,44975.824199992465,0.0,0.0,0.0,0.0,0.0,92,9200.0,0.5,0.20652173913043478,116.2877474,34.7826086957,0.0,0.6905831793356683,0.0,0.8457253033755749,0.0,0.0,0.0,0.0,0.0,0.462703621879349,0.8568958276562347,0.16666666666666666,0.23515400171113013,0.4527724589647394,0.43478260869624996,0.0
1407000641306,250.98193043427437,7.491997923411175,54707.34167146955,168.56995327675145,500.0,116.12596781287321,14.98399584682235,0.8061151183601075,3063,11473.994819704214,0.4620525059665871,0.20959843290891284,122.135569,19.8637911464,0.0,0.8273849372831357,0.36404264847187867,0.8611866394025848,0.5605263858425258,0.6619400189667066,0.5317397597957357,0.4426973946927955,0.5531874041870728,0.8194729031301657,0.8776311198717918,0.15401750198886235,0.23865724963599824,0.21863255699427542,0.24829738933,0.0
1407000011217,51.132073556857925,8.522012259476321,13318.200613588722,8.522012259476321,0.0,0.0,0.0,0.0,75,639.1509194607241,1.2058823529411764,0.13333333333333333,121.52193575,37.5,0.0,0.5916236014965769,0.38352552457736633,0.7496634320935797,0.24608228938412796,0.0,0.0,0.0,0.0,0.442096418395461,0.6066578549682357,0.40196078431372545,0.15181872391174717,0.24320171091662124,0.46875,0.0
1407000211185,65.1152435367486,6.854236161763009,20263.653250428357,99.38642434556364,230.0,41.12541697057806,0.0,1.0588032571034944,496,1699.8505681172262,0.554858934169279,0.18346774193548387,114.2436672,27.7777777778,0.0,0.6271796948866522,0.3507562426315804,0.7827911185378872,0.5032822116595176,0.5795049620240298,0.4175831659777901,0.0,0.7265917881969914,0.6337946020111288,0.6984004962641213,0.18495297805642633,0.20890378844711177,0.5346150270840824,0.3472222222225,0.0
1407001111344,708.6882319409895,139.74134150949087,77192.74655031551,129.75981711595583,0.0,39.92609757414025,9.981524393535063,1.2047933096947843,1579,15760.827017391865,0.5009505703422054,0.18492716909436352,117.7072463,40.4166666667,0.0,0.9823271637450641,0.8418824580279389,0.8883648898233351,0.5321462658262617,0.0,0.4143588080481206,0.38274008423631456,0.8267758145112489,0.75186336786463,0.9074322006081211,0.16698352344740178,0.21056555121388618,0.39593739181885046,0.50520833333375,0.0
1407000200793,42.296126445045495,0.0,6441.962734186604,0.0,0.0,0.0,0.0,0.0,62,874.1199465309403,0.631578947368421,0.12903225806451613,121.52193575,37.5,0.0,0.5638338232081561,0.0,0.6923378152586318,0.0,0.0,0.0,0.0,0.0,0.4229456952310189,0.6360116949489998,0.21052631578947367,0.14692134572104565,0.24320171091662124,0.46875,0.0
1407000140469,126.03023943633542,14.703527934239132,31085.546697457987,134.43225539875777,160.0,56.71360774635094,0.0,1.0016277261245379,1273,2673.9415800409165,0.4819557625145518,0.20502749410840534,118.5621969,16.1290322581,0.0,0.72489516135953,0.4686645528647095,0.8165681023550375,0.5359800299617665,0.5410645048185279,0.452730144838336,0.0,0.6873557252019077,0.7298885377390661,0.74091159252453,0.16065192083818394,0.2334525939177102,0.3617061749032059,0.20161290322625,0.0
