codigo_act,per_ocu,cve_ent,cve_mun,cve_loc,ageb
236211,0 a 5 personas,19,039,0001,057A
236111,0 a 5 personas,19,019,0001,0083
236221,0 a 5 personas,19,039,0001,0457
237121,31 a 50 personas,19,048,0001,0282
236221,11 a 30 personas,19,021,0001,0043
238122,0 a 5 personas,19,039,0001,3362
237212,51 a 100 personas,19,046,0001,0216
238990,6 a 10 personas,19,019,0001,0172
237312,0 a 5 personas,19,039,0001,3343
236221,0 a 5 personas,19,019,0001,0492
237111,11 a 30 personas,19,039,0001,1883
237212,51 a 100 personas,19,039,0001,2256
237312,31 a 50 personas,19,039,0001,1173
237212,11 a 30 personas,19,039,0001,1652
237212,11 a 30 personas,19,039,0001,0993
237212,0 a 5 personas,19,046,0001,0146
238910,31 a 50 personas,19,021,0001,0221
236111,0 a 5 personas,19,026,0001,2135
236221,51 a 100 personas,19,039,0001,096A
237312,31 a 50 personas,19,046,0001,1356
236211,101 a 250 personas,19,039,0001,114A
237212,11 a 30 personas,19,039,0001,1506
236211,0 a 5 personas,19,039,0001,0527
238130,0 a 5 personas,19,039,0001,1722
236111,11 a 30 personas,19,039,0001,1807
236111,11 a 30 personas,19,026,0001,0302
237121,0 a 5 personas,19,048,0001,0282
236221,101 a 250 personas,19,006,0001,0526
238390,11 a 30 personas,19,039,0001,0264
238110,0 a 5 personas,19,039,0001,2260
238910,31 a 50 personas,19,039,0001,299A
236111,11 a 30 personas,19,046,0001,0131
237993,11 a 30 personas,19,018,0015,0207
237999,0 a 5 personas,19,048,0001,0583
236221,11 a 30 personas,19,019,0001,0543
236221,51 a 100 personas,19,026,0001,0317
238390,0 a 5 personas,19,039,0001,0902
236112,0 a 5 personas,19,039,0001,0495
238122,0 a 5 personas,19,039,0001,4676
236211,6 a 10 personas,19,039,0001,1474
238910,31 a 50 personas,19,021,0001,0537
236211,11 a 30 personas,19,039,0001,1084
236221,0 a 5 personas,19,046,0001,1661
236221,0 a 5 personas,19,006,0133,2537
236221,6 a 10 personas,19,026,0001,1404
237212,31 a 50 personas,19,021,0001,0537
237212,6 a 10 personas,19,019,0001,0238
237212,6 a 10 personas,19,026,0001,2421
237212,11 a 30 personas,19,039,0001,1582
236111,31 a 50 personas,19,039,0001,5250
236111,6 a 10 personas,19,019,0001,0420
236211,11 a 30 personas,19,039,0001,160A
236221,11 a 30 personas,19,026,0001,0779
236221,11 a 30 personas,19,039,0001,4110
236211,11 a 30 personas,19,039,0001,420A
238210,0 a 5 personas,19,026,0001,0177
236221,11 a 30 personas,19,039,0001,160A
236221,51 a 100 personas,19,026,0001,1584
237212,11 a 30 personas,19,006,0001,1492
236221,0 a 5 personas,19,019,0001,0172
236112,0 a 5 personas,19,039,0001,1972
236111,11 a 30 personas,19,039,0001,3837
236111,6 a 10 personas,19,021,0001,1130
236111,6 a 10 personas,19,039,0001,1559
236221,251 y más personas,19,039,0001,1474
236111,0 a 5 personas,19,039,0001,0669
237312,0 a 5 personas,19,006,0001,0511
236111,0 a 5 personas,19,048,0001,0210
236221,11 a 30 personas,19,019,0001,0384
237312,51 a 100 personas,19,039,0001,1845
236111,51 a 100 personas,19,026,0001,1160
237212,11 a 30 personas,19,039,0001,3165
236111,0 a 5 personas,19,039,0001,1474
236221,6 a 10 personas,19,039,0001,139A
236111,11 a 30 personas,19,039,0001,1648
236111,101 a 250 personas,19,026,0001,2544
236221,11 a 30 personas,19,039,0001,1173
236111,11 a 30 personas,19,039,0001,1826
236221,251 y más personas,19,039,0001,1741
236112,11 a 30 personas,19,031,0001,0285
236111,101 a 250 personas,19,026,0001,1527
236211,0 a 5 personas,19,039,0001,1845
236221,11 a 30 personas,19,039,0001,3428
238990,0 a 5 personas,19,021,0001,0166
236221,0 a 5 personas,19,039,0001,0512
236221,11 a 30 personas,19,026,0001,0641
236211,11 a 30 personas,19,046,0001,0095
236211,11 a 30 personas,19,026,0001,1315
236221,0 a 5 personas,19,026,0001,1122
236111,6 a 10 personas,19,039,0001,1474
236221,251 y más personas,19,039,0001,1474
237212,101 a 250 personas,19,046,0001,0324
236222,0 a 5 personas,19,019,0001,0172
236221,31 a 50 personas,19,019,0001,0384
236221,11 a 30 personas,19,039,0001,1493
236113,11 a 30 personas,19,019,0001,0100
236221,101 a 250 personas,19,039,0001,1169
236221,251 y más personas,19,039,0001,1741
236111,0 a 5 personas,19,039,0001,3733
236221,0 a 5 personas,19,039,0001,4303
238910,11 a 30 personas,19,046,0001,0362
236221,6 a 10 personas,19,039,0001,1915
236211,31 a 50 personas,19,039,0001,1578
236111,0 a 5 personas,19,039,0001,1991
237212,11 a 30 personas,19,039,0001,1370
236221,0 a 5 personas,19,019,0001,0242
237312,11 a 30 personas,19,039,0001,2063
237312,0 a 5 personas,19,019,0001,0384
236221,11 a 30 personas,19,039,0001,1826
236111,51 a 100 personas,19,039,0001,2190
236111,0 a 5 personas,19,026,0001,0228
236111,251 y más personas,19,046,0001,0786
236221,11 a 30 personas,19,039,0001,395A
236211,31 a 50 personas,19,026,0001,0181
236111,11 a 30 personas,19,048,0001,1308
236221,0 a 5 personas,19,039,0001,1629
238910,31 a 50 personas,19,039,0001,3343
237212,11 a 30 personas,19,046,0001,152A
236111,0 a 5 personas,19,048,0001,0579
236221,101 a 250 personas,19,039,0001,1826
237312,11 a 30 personas,19,026,0001,050A
236111,11 a 30 personas,19,019,0001,0172
236211,11 a 30 personas,19,039,0001,0902
236111,11 a 30 personas,19,039,0001,2241
237312,251 y más personas,19,021,0001,0537
236111,11 a 30 personas,19,021,0001,0221
236111,101 a 250 personas,19,039,0001,0692
236221,11 a 30 personas,19,039,0001,0902
238320,0 a 5 personas,19,026,0001,0196
236211,11 a 30 personas,19,019,0001,0098
236112,11 a 30 personas,19,019,0001,0083
238221,31 a 50 personas,19,039,0001,1351
236111,0 a 5 personas,19,006,0133,3022
236211,11 a 30 personas,19,039,0001,0692
236221,51 a 100 personas,19,039,0001,0508
236111,51 a 100 personas,19,039,0001,1722
236221,11 a 30 personas,19,039,0001,1633
236221,51 a 100 personas,19,039,0001,1845
237132,6 a 10 personas,19,039,0001,1563
236221,11 a 30 personas,19,039,0001,3663
236211,51 a 100 personas,19,039,0001,1629
236112,0 a 5 personas,19,039,0001,114A
236221,11 a 30 personas,19,039,0001,0870
237212,51 a 100 personas,19,019,0001,0100
237312,0 a 5 personas,19,039,0001,1578
237212,11 a 30 personas,19,039,0001,2716
236111,0 a 5 personas,19,026,0001,0158
236221,11 a 30 personas,19,039,0001,2472
236211,51 a 100 personas,19,039,0001,1101
236111,11 a 30 personas,19,039,0001,1205
236111,6 a 10 personas,19,019,0001,0401
236111,11 a 30 personas,19,049,0001,0167
236111,251 y más personas,19,039,0001,2152
237312,0 a 5 personas,19,019,0001,0172
236221,101 a 250 personas,19,039,0001,1582
238130,31 a 50 personas,19,039,0001,4939
236111,0 a 5 personas,19,031,0001,0270
237312,31 a 50 personas,19,039,0001,1633
236111,0 a 5 personas,19,019,0001,0492
238210,6 a 10 personas,19,019,0001,0242
238390,251 y más personas,19,039,0001,146A
238910,0 a 5 personas,19,006,0001,1026
237212,0 a 5 personas,19,039,0001,1741
238222,6 a 10 personas,19,021,0001,0166
238210,31 a 50 personas,19,006,0001,0259
236112,31 a 50 personas,19,006,0001,0475
236111,0 a 5 personas,19,026,0001,2239
237212,0 a 5 personas,19,039,0001,1154
236211,0 a 5 personas,19,039,0001,2241
238320,6 a 10 personas,19,039,0001,0601
236112,101 a 250 personas,19,039,0001,1440
236111,11 a 30 personas,19,039,0001,1489
237993,11 a 30 personas,19,039,0001,2241
238222,11 a 30 personas,19,039,0001,4303
237212,0 a 5 personas,19,039,0001,0940
238340,0 a 5 personas,19,039,0001,1879
237312,31 a 50 personas,19,021,0001,0537
236221,11 a 30 personas,19,039,0001,2114
236211,11 a 30 personas,19,039,0001,1188
236111,6 a 10 personas,19,019,0001,0223
236112,11 a 30 personas,19,039,0001,1120
237993,31 a 50 personas,19,039,0001,0546
238210,6 a 10 personas,19,046,0001,0095
238190,6 a 10 personas,19,039,0001,0974
236111,101 a 250 personas,19,019,0001,0399
236111,11 a 30 personas,19,006,0001,0723
238221,0 a 5 personas,19,019,0001,0083
236112,0 a 5 personas,19,019,0001,0577
237212,51 a 100 personas,19,019,0001,0577
236221,6 a 10 personas,19,039,0001,5496
236111,11 a 30 personas,19,039,0001,3165
238210,251 y más personas,19,039,0001,0902
238210,0 a 5 personas,19,026,0001,1461
236111,0 a 5 personas,19,046,0001,0593
236211,11 a 30 personas,19,019,0001,0098
236211,6 a 10 personas,19,039,0001,1417
237212,11 a 30 personas,19,046,0001,0216
