cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
15,106,0092,4070,221312,0 a 5 personas
15,051,0007,0294,221312,0 a 5 personas
15,115,0001,0043,221312,0 a 5 personas
15,054,0034,0883,221312,0 a 5 personas
15,106,0099,2197,221312,0 a 5 personas
15,051,0001,0472,221312,0 a 5 personas
15,051,0086,0487,221312,0 a 5 personas
15,106,0062,1767,221312,0 a 5 personas
15,106,0001,035A,221312,0 a 5 personas
15,051,0001,0453,221312,0 a 5 personas
15,051,0001,0468,221312,0 a 5 personas
15,115,0006,0081,221312,0 a 5 personas
15,106,0049,5100,221312,6 a 10 personas
15,106,0079,2271,221312,6 a 10 personas
15,106,0188,505A,221312,6 a 10 personas
15,106,0188,505A,221312,6 a 10 personas
15,106,0066,4719,221312,6 a 10 personas
15,106,0068,3744,221312,6 a 10 personas
15,106,0233,4422,221312,6 a 10 personas
15,106,0001,0307,221312,6 a 10 personas
15,106,0050,1184,221312,6 a 10 personas
15,106,0090,4329,221312,6 a 10 personas
15,106,0001,3227,221312,6 a 10 personas
15,106,0233,4456,221312,6 a 10 personas
15,106,0211,5064,221312,6 a 10 personas
15,106,0233,4441,221312,6 a 10 personas
15,106,0088,2479,221312,6 a 10 personas
15,106,0001,3227,221312,6 a 10 personas
15,106,0090,4352,221312,6 a 10 personas
15,106,0233,4403,221312,6 a 10 personas
15,106,0233,4403,221312,0 a 5 personas
15,106,0127,220A,221312,6 a 10 personas
15,106,0001,0631,221312,6 a 10 personas
15,106,0075,4155,221312,6 a 10 personas
15,106,0233,4437,221312,6 a 10 personas
15,106,0234,4494,221312,6 a 10 personas
15,106,0064,4916,221312,6 a 10 personas
15,106,0235,4545,221312,6 a 10 personas
15,106,0046,4812,221312,6 a 10 personas
15,106,0001,1930,221312,6 a 10 personas
15,106,0001,1930,221312,6 a 10 personas
15,106,0064,4935,221312,6 a 10 personas
15,106,0001,1945,221312,6 a 10 personas
15,106,0062,1771,221312,6 a 10 personas
15,106,0188,5030,221312,6 a 10 personas
15,106,0001,213A,221312,6 a 10 personas
15,106,0001,0307,221312,6 a 10 personas
15,106,0001,2411,221312,6 a 10 personas
15,106,0083,1521,221312,6 a 10 personas
15,106,0001,2040,221312,6 a 10 personas
15,106,0070,4780,221312,6 a 10 personas
15,106,0001,0631,221312,6 a 10 personas
15,106,0001,0631,221312,6 a 10 personas
15,106,0086,4225,221312,0 a 5 personas
15,106,0221,5079,221312,6 a 10 personas
15,106,0075,4206,221312,6 a 10 personas
15,106,0062,1771,221312,6 a 10 personas
15,106,0065,2977,221312,6 a 10 personas
15,106,0066,4704,221312,6 a 10 personas
15,106,0083,1521,221312,6 a 10 personas
15,106,0071,5149,221312,6 a 10 personas
15,106,0075,416A,221312,6 a 10 personas
15,106,0075,416A,221312,0 a 5 personas
15,106,0079,2271,221312,6 a 10 personas
15,106,0079,1502,221312,6 a 10 personas
15,106,0082,2182,221312,6 a 10 personas
15,106,0084,4598,221312,6 a 10 personas
15,106,0084,4598,221312,6 a 10 personas
15,106,0066,4761,221312,6 a 10 personas
15,106,0087,4009,221312,6 a 10 personas
15,106,0093,3956,221312,6 a 10 personas
15,106,0093,3956,221312,6 a 10 personas
15,106,0093,3937,221312,6 a 10 personas
15,106,0235,4507,221312,6 a 10 personas
15,106,0235,4526,221312,6 a 10 personas
15,106,0001,1998,221312,6 a 10 personas
15,106,0001,1998,221312,6 a 10 personas
15,106,0080,3871,221312,6 a 10 personas
15,106,0084,3509,221312,6 a 10 personas
15,106,0001,2089,221312,6 a 10 personas
15,106,0043,487A,221312,6 a 10 personas
15,106,0098,2515,221312,6 a 10 personas
15,106,0098,2515,221312,0 a 5 personas
15,054,0037,0972,221312,6 a 10 personas
15,106,0001,3231,221312,6 a 10 personas
15,106,0001,3231,221312,6 a 10 personas
15,106,0001,2430,221312,6 a 10 personas
15,115,0006,0081,221312,0 a 5 personas
15,106,0001,0379,221312,0 a 5 personas
15,005,0032,0145,221311,0 a 5 personas
15,106,0001,3373,221312,6 a 10 personas
15,090,0001,024A,221312,0 a 5 personas
15,051,0001,0256,221312,0 a 5 personas
15,051,0001,0186,221312,0 a 5 personas
15,106,0001,0595,221312,0 a 5 personas
15,062,0012,0103,221312,0 a 5 personas
15,051,0001,0186,221312,0 a 5 personas
15,051,0026,0311,221312,0 a 5 personas
