cve_ent,cve_mun,cve_loc,ageb,codigo_act,per_ocu
01,001,0001,1034,236111,11 a 30 personas
01,001,0001,0375,237312,31 a 50 personas
01,005,0347,0035,237313,6 a 10 personas
01,001,0001,1477,237312,31 a 50 personas
01,001,0001,2085,237312,11 a 30 personas
01,001,0001,0286,237111,11 a 30 personas
01,001,0001,2386,237122,11 a 30 personas
01,001,0001,0568,236111,0 a 5 personas
01,001,0001,2761,238210,6 a 10 personas
01,001,0001,4433,238190,0 a 5 personas
01,001,0001,0500,238311,6 a 10 personas
01,001,0001,2367,238221,6 a 10 personas
01,001,0001,209A,236111,0 a 5 personas
01,001,0001,0591,238210,6 a 10 personas
01,005,0507,0035,236211,11 a 30 personas
01,001,0001,0229,236111,31 a 50 personas
01,001,0001,052A,236111,31 a 50 personas
01,001,0001,2263,236111,11 a 30 personas
01,001,0001,038A,238210,31 a 50 personas
01,001,0001,2564,238290,0 a 5 personas
01,001,0001,0820,238290,6 a 10 personas
01,001,0001,3399,238390,0 a 5 personas
01,001,0001,3242,238190,0 a 5 personas
01,001,1025,3967,236221,6 a 10 personas
01,001,0001,2085,238130,0 a 5 personas
01,001,0001,0977,236112,31 a 50 personas
01,001,0001,2085,238210,6 a 10 personas
01,001,0001,2390,236111,0 a 5 personas
01,001,0001,159A,238290,0 a 5 personas
01,001,0001,0286,238122,6 a 10 personas
01,001,0001,2333,238222,11 a 30 personas
01,001,0001,2140,238311,0 a 5 personas
01,001,0001,159A,237212,0 a 5 personas
01,001,0001,2263,238110,11 a 30 personas
01,001,0001,2403,236111,11 a 30 personas
01,001,0001,198A,237111,11 a 30 personas
01,001,0001,3346,238910,6 a 10 personas
01,001,0001,2259,236111,0 a 5 personas
01,001,0001,3581,238290,0 a 5 personas
01,001,0001,2278,238210,11 a 30 personas
01,001,0001,0892,238210,11 a 30 personas
01,001,0001,084A,238190,0 a 5 personas
01,001,0001,1693,237212,0 a 5 personas
01,001,0001,3327,236211,51 a 100 personas
01,005,0023,043A,236111,0 a 5 personas
01,001,0001,4359,236112,0 a 5 personas
01,001,0001,0712,238210,11 a 30 personas
01,001,0001,2846,238210,0 a 5 personas
01,001,0001,0500,236221,6 a 10 personas
01,001,0001,0515,238340,6 a 10 personas
01,001,0001,2140,238222,6 a 10 personas
01,001,0001,4414,236111,101 a 250 personas
01,001,0001,3219,236211,101 a 250 personas
01,001,0001,3261,236111,6 a 10 personas
01,001,0001,0426,238210,0 a 5 personas
01,001,0001,3187,238130,6 a 10 personas
01,001,0001,198A,236221,11 a 30 personas
01,001,0001,2278,236221,51 a 100 personas
01,001,0001,1299,236111,101 a 250 personas
01,001,0001,2259,236111,6 a 10 personas
01,001,0001,198A,238210,6 a 10 personas
01,001,0001,0303,238210,11 a 30 personas
01,001,0001,2259,236111,0 a 5 personas
01,001,0001,1975,238190,6 a 10 personas
01,001,0001,1509,238190,6 a 10 personas
01,001,0001,159A,238210,11 a 30 personas
01,001,0001,045A,236211,6 a 10 personas
01,001,0001,1373,238210,11 a 30 personas
01,001,0001,159A,237131,11 a 30 personas
01,001,0001,1392,238311,6 a 10 personas
01,001,0001,1392,238390,6 a 10 personas
01,005,0105,0035,238210,0 a 5 personas
01,001,0001,2761,236211,0 a 5 personas
01,001,0001,1994,236111,11 a 30 personas
01,001,0001,1477,237132,0 a 5 personas
01,001,0001,2047,238210,0 a 5 personas
01,005,0102,0035,238320,11 a 30 personas
01,001,0001,0799,236111,11 a 30 personas
01,001,0001,2403,237131,51 a 100 personas
01,001,0001,3280,236112,31 a 50 personas
01,001,0001,3736,236221,0 a 5 personas
01,001,0001,0534,238990,0 a 5 personas
01,001,0001,1316,238221,6 a 10 personas
01,001,0001,0977,237312,11 a 30 personas
01,001,0001,0888,236221,6 a 10 personas
01,001,0001,0233,237212,6 a 10 personas
01,001,0001,052A,237213,11 a 30 personas
01,001,0001,0286,236221,11 a 30 personas
01,001,0001,2386,237212,11 a 30 personas
01,001,0001,0996,236221,6 a 10 personas
01,001,0001,3280,236111,31 a 50 personas
01,001,0001,0290,238222,0 a 5 personas
01,001,0001,3115,238222,11 a 30 personas
01,001,0001,2403,236111,6 a 10 personas
01,001,0001,2263,237111,11 a 30 personas
01,001,0001,0303,238210,11 a 30 personas
01,001,0001,2422,238390,0 a 5 personas
01,001,0001,2028,236111,0 a 5 personas
01,001,0001,0591,236111,101 a 250 personas
01,001,0001,2386,236111,0 a 5 personas
01,001,0001,3280,237212,11 a 30 personas
01,001,0001,1354,236111,0 a 5 personas
01,001,0001,4363,238350,0 a 5 personas
01,001,0001,0572,311812,0 a 5 personas
01,001,0001,2047,311812,11 a 30 personas
01,001,0001,0591,315229,51 a 100 personas
01,001,0001,0587,315229,11 a 30 personas
01,001,0001,0587,315223,31 a 50 personas
01,001,0001,0483,311993,0 a 5 personas
01,001,0001,369A,315224,0 a 5 personas
01,001,0001,2278,314120,11 a 30 personas
01,001,0001,2278,314120,6 a 10 personas
01,011,0106,009A,312120,11 a 30 personas
01,005,0226,0035,311411,251 y más personas
01,011,0033,0085,311110,31 a 50 personas
01,011,0145,009A,312112,0 a 5 personas
01,001,0001,2066,312112,0 a 5 personas
01,011,0138,023A,312112,0 a 5 personas
01,001,0001,3261,312112,0 a 5 personas
01,001,0001,3083,312112,11 a 30 personas
01,001,0001,2649,312112,0 a 5 personas
01,001,0001,0483,312112,0 a 5 personas
01,001,0001,1354,312112,0 a 5 personas
01,001,0001,0820,312112,0 a 5 personas
01,001,0001,2475,312112,0 a 5 personas
01,001,0001,351A,312112,0 a 5 personas
01,001,0001,337A,312112,0 a 5 personas
01,001,0001,3365,312112,0 a 5 personas
01,005,0001,0497,312112,0 a 5 personas
01,001,0001,2865,312112,0 a 5 personas
01,001,0001,0483,312112,0 a 5 personas
01,001,0001,3882,312112,0 a 5 personas
01,001,0001,2051,312112,0 a 5 personas
01,001,0001,255A,312112,0 a 5 personas
