cve_ageb,productions,attractions
1403900013834,7913.0,9281.793880964879
1403900011236,9743.5,8740.693670000333
1403900011984,5443.75,5488.68815741191
1403900014546,1168.5000000000002,28393.237162360616
1403900014620,7589.25,778.2115393647409
1403900011039,6886.749999999999,13050.5804939127
1403900013336,16768.25,5478.555194659764
1403900012130,4878.0,22741.74607006424
1403900011147,7622.999999999999,23380.122723449378
1403900012037,7011.000000000001,4292.323021808649
1403900014461,6803.75,14673.881126806338
1403900014279,9866.0,1451.0402661071732
1403900014211,12588.249999999998,3424.2658793748883
1403900014902,5145.749999999999,30810.962075022424
1403900010577,3638.25,40105.59104214002
1403900015099,6608.0,2331.256963843508
1403900013730,2771.75,56009.613847056775
1403900012569,8099.75,24340.052061502585
1403900015012,13638.75,4910.433749689498
1403900014387,15740.249999999998,3997.1160402961564
1403900014527,8123.0,802.5306499698892
1403900011683,8463.0,12345.326286363403
1403900011946,5650.499999999999,6049.378763030603
1403900014300,12922.75,1231.4927398106968
1403900013514,7406.25,5192.805645049274
1403900014048,15094.75,10645.690667403605
1403900013872,15795.0,4176.1317155840525
1403900014813,8697.25,1439.556241654742
1403900011861,3358.75,38762.63571205573
1403900014480,13046.249999999998,3073.6653681506696
1403900012041,4240.0,3822.153550109118
1403900015402,6291.000000000001,5945.347012108581
1403900015154,6744.750000000001,504.62154505682423
1403900010295,6811.5,33136.139261214645
1403900015544,6743.75,1669.2367307033635
1403900013317,7397.999999999999,27123.239164091763
1403900015440,10339.0,2800.0753738427525
1403900014103,8500.250000000002,9409.469211641906
1403900012319,11159.749999999998,14409.748564400423
1403900011842,2909.75,11996.752367689613
1403900013853,4867.499999999999,5170.513126994554
1403900011819,1181.0,16934.207351384834
1403900011170,11510.75,36861.691899753314
1403900011626,1293.4999999999998,74114.51616173942
1403900014438,11259.750000000002,2956.7985310759295
1403900013938,6790.500000000001,687.0148745954353
1403900014512,12083.75,7925.3279338777265
1403900013726,6056.249999999999,27305.632493630375
1403900014160,6304.749999999999,2184.666769362476
1403900012376,4438.750000000001,12882.373312227091
1403900010064,6714.0,3801.212093754685
1403900010789,12110.749999999998,5300.215050222012
1403900015281,7958.75,5796.73022507712
