CVEGEO,CVE_MUN,CVE_LOC,POB_TOTAL,IM_2020,GM_2020,IMN_2020,has_conapo
1403900010717,039,0001,2799.0,124.383080446516,Muy bajo,0.971633986420129,True
1403900014781,039,0001,2986.0,121.238825844838,Bajo,0.947072248425051,True
1403900015169,039,0001,2394.0,121.49349503903,Bajo,0.949061628680645,True
1403900011857,039,0001,3322.0,122.459989318047,Bajo,0.956611519596698,True
1403900012535,039,0001,3821.0,123.742247751029,Muy bajo,0.966628041686251,True
1403900014349,039,0001,2021.0,122.694879883503,Bajo,0.958446396620709,True
140390001539A,039,0001,3696.0,121.078790550148,Medio,0.945822112708927,True
1403900012573,039,0001,,,,,False
1403900010308,039,0001,497.0,120.546910976986,Medio,0.941667268914159,True
1403900013868,039,0001,4200.0,120.75039059381,Medio,0.943256775385142,True
1403900015173,039,0001,3324.0,120.913641348323,Medio,0.94453202906775,True
1403900012164,039,0001,844.0,124.059823800178,Muy bajo,0.969108826705549,True
140390001215A,039,0001,799.0,124.387997191741,Muy bajo,0.971672394190265,True
1403900014122,039,0001,3179.0,123.890902466513,Muy bajo,0.967789276584823,True
1403900010134,039,0001,3236.0,122.537857728636,Bajo,0.95721979842309,True
1403900014156,039,0001,1891.0,123.212720587934,Bajo,0.962491574036885,True
1403900013660,039,0001,5426.0,122.2332972877,Bajo,0.954840686454883,True
1403900010115,039,0001,3304.0,123.293895366688,Bajo,0.963125680971641,True
1403900011081,039,0001,2681.0,121.493150830928,Bajo,0.949058939856016,True
1403900014724,039,0001,3284.0,123.637966598816,Bajo,0.965813436425876,True
1403900010651,039,0001,3971.0,121.692708895999,Bajo,0.950617812635104,True
1403900015421,039,0001,3707.0,120.701340677183,Medio,0.942873615827948,True
1403900011467,039,0001,4745.0,120.622463561848,Medio,0.942257457378305,True
1403900014921,039,0001,2664.0,120.625771419841,Medio,0.942283297124642,True
1403900010401,039,0001,2118.0,124.394805258457,Muy bajo,0.971725576254735,True
1403900014917,039,0001,2107.0,124.932982138518,Muy bajo,0.975929612249788,True
1403900011310,039,0001,981.0,125.317926089371,Muy bajo,0.978936650057284,True
1403900010505,039,0001,5858.0,122.833256739871,Bajo,0.959527344737594,True
1403900011185,039,0001,5210.0,122.315566680316,Bajo,0.955483344102697,True
1403900011397,039,0001,5120.0,121.936530455098,Bajo,0.952522455232736,True
1403900011645,039,0001,1828.0,120.430379273196,Medio,0.94075696693827,True
1403900013548,039,0001,1383.0,122.917783618494,Bajo,0.960187637019641,True
1403900011999,039,0001,1739.0,123.107712086785,Bajo,0.961671286999342,True
1403900013764,039,0001,2516.0,122.772038017145,Bajo,0.959049127029906,True
1403900013590,039,0001,3233.0,119.242527952996,Medio,0.931477917815375,True
140390001279A,039,0001,4961.0,121.228940892047,Bajo,0.946995030880252,True
1403900015008,039,0001,4449.0,120.289921209934,Medio,0.939659761213484,True
1403900013016,039,0001,5380.0,119.984766304357,Medio,0.937276005510401,True
1403900014476,039,0001,7476.0,121.527744335641,Bajo,0.94932917134384,True
140390001119A,039,0001,2055.0,121.691097638832,Bajo,0.950605226098266,True
1403900015436,039,0001,3812.0,121.530843074957,Bajo,0.949353377533489,True
1403900012200,039,0001,1191.0,123.101132490389,Bajo,0.961619889659349,True
1403900011293,039,0001,886.0,122.328905439793,Bajo,0.955587541490301,True
1403900012713,039,0001,3393.0,123.470537115537,Bajo,0.964505540080987,True
1403900010952,039,0001,3251.0,123.10641843309,Bajo,0.961661181461739,True
1403900011202,039,0001,2008.0,122.254271721865,Bajo,0.955004530870119,True
1403900015417,039,0001,3837.0,120.651984502121,Medio,0.942488063894699,True
1403900010844,039,0001,3105.0,121.722796471732,Bajo,0.950852845495253,True
140390001560A,039,0001,2420.0,124.175400405623,Muy bajo,0.970011667811288,True
1403900014870,039,0001,1678.0,125.103032920443,Muy bajo,0.977257985196835,True
1403900013923,039,0001,4286.0,123.246177538965,Bajo,0.962752927193499,True
1403900015192,039,0001,3526.0,119.875092676085,Medio,0.936419276248994,True
1403900011664,039,0001,2178.0,122.525721900124,Bajo,0.957124997881142,True
1403900012624,039,0001,4749.0,123.564541798245,Bajo,0.965239869414798,True
1403900012022,039,0001,4065.0,120.82346203302,Medio,0.94382758206976,True
1403900013849,039,0001,1656.0,123.802842065439,Muy bajo,0.967101381750296,True
1403900014832,039,0001,3312.0,123.354703749993,Bajo,0.963600693261628,True
1403900011880,039,0001,1826.0,120.321455222939,Medio,0.939906093099257,True
1403900014974,039,0001,2159.0,124.505505823243,Muy bajo,0.972590327559145,True
140390001425A,039,0001,5144.0,120.079198369865,Medio,0.938013673398399,True
1403900015332,039,0001,1552.0,123.411895544572,Bajo,0.964047454116541,True
1403900012215,039,0001,2270.0,123.63062520842,Bajo,0.965756088236792,True
1403900013976,039,0001,2378.0,121.556642672025,Bajo,0.9495549143121,True
1403900014601,039,0001,3520.0,120.21684848627,Medio,0.939088944495192,True
1403900011452,039,0001,4217.0,120.660108109718,Medio,0.942551522471262,True
1403900014743,039,0001,3042.0,122.375501832952,Bajo,0.955951535042121,True
1403900010825,039,0001,3680.0,122.374281200533,Bajo,0.955941999919349,True
1403900012520,039,0001,1593.0,121.784438187617,Bajo,0.951334367466895,True
1403900015506,039,0001,4440.0,119.909196880562,Medio,0.936685685506831,True
1403900010859,039,0001,4308.0,121.646533176092,Bajo,0.950257105224996,True
1403900014245,039,0001,4483.0,120.261820680502,Medio,0.939440250413989,True
1403900010685,039,0001,1913.0,124.50384454684,Muy bajo,0.972577350290783,True
1403900011965,039,0001,2593.0,121.982028610615,Bajo,0.952877869763886,True
